scenario,controller,seed,reward,steps,success,final_distance,max_speed,max_command_torque,fault_seen
heldout,sac_train_seed_0,40000,-95.98584820861075,250,False,0.09939907128123016,6.2540758860226005,40.0,False
heldout,sac_train_seed_0,40001,-51.4079474542418,52,True,0.046185528580413575,10.61901828440282,40.0,False
heldout,sac_train_seed_0,40002,-147.94916505273522,250,False,0.14210418211877682,7.625374441348321,40.0,False
heldout,sac_train_seed_0,40003,-75.74784678426052,84,True,0.033968313092243484,13.101926366994967,40.0,False
heldout,sac_train_seed_0,40004,-105.98707062877112,250,False,0.08728595008234019,13.282555190136584,40.0,False
heldout,sac_train_seed_0,40005,-58.71312295685912,94,True,0.049662685478839376,9.146270067400607,40.0,False
heldout,sac_train_seed_0,40006,-105.5005747827819,250,False,0.09234832937602439,11.608750827996047,40.0,False
heldout,sac_train_seed_0,40007,-61.21023164726451,63,True,0.04723957340350201,11.408538679830466,40.0,False
heldout,sac_train_seed_0,40008,-28.74431851246181,50,True,0.03722471305041744,7.713208180786801,40.0,False
heldout,sac_train_seed_0,40009,-23.386290212341095,38,True,0.034064408176030014,10.083435867293428,40.0,False
heldout,sac_train_seed_0,40010,-40.305922365681305,48,True,0.023250234974720976,8.812247517132509,40.0,False
heldout,sac_train_seed_0,40011,-51.89034056271829,250,False,0.06677891139856112,12.115432127680245,40.0,False
heldout,sac_train_seed_0,40012,-67.10890323183078,66,True,0.04805464156595244,9.628716466537671,40.0,False
heldout,sac_train_seed_0,40013,-90.58092062094978,70,True,0.046099740747295476,7.680727140374522,40.0,False
heldout,sac_train_seed_0,40014,-34.2004032981638,50,True,0.048003058404530126,8.443040904158316,40.0,False
heldout,sac_train_seed_0,40015,-136.38672713161935,250,False,0.32730995917799294,9.646093443339373,40.0,False
heldout,sac_train_seed_0,40016,-36.05822504978971,63,True,0.04818126304726369,4.828302733236053,35.69860076904297,False
heldout,sac_train_seed_0,40017,-50.82971026291968,72,True,0.03970173739640195,13.672907647753332,40.0,False
heldout,sac_train_seed_0,40018,-65.2032372930708,63,True,0.03246863694997708,10.528762014387771,40.0,False
heldout,sac_train_seed_0,40019,-20.885719987680886,37,True,0.046412951370705634,10.787021424242221,40.0,False
heldout,sac_train_seed_0,40020,-76.91679854584875,250,False,0.07666031434855836,7.064234684289196,40.0,False
heldout,sac_train_seed_0,40021,-93.06875544868565,250,False,0.15831655341250803,5.813268887185138,40.0,False
heldout,sac_train_seed_0,40022,-220.12851888673092,250,False,0.6194277358220104,10.970395076286568,40.0,False
heldout,sac_train_seed_0,40023,-97.92524179145917,85,True,0.046825097451622326,9.353394448291988,40.0,False
heldout,sac_train_seed_0,40024,-14.764835786114658,50,True,0.0485485404516923,5.798843154441349,38.54029083251953,False
heldout,sac_train_seed_0,40025,-86.94181549856984,76,True,0.0296315885533577,9.478025370953258,40.0,False
heldout,sac_train_seed_0,40026,-33.232753054541114,52,True,0.021873911175550032,6.433755474027562,39.50119400024414,False
heldout,sac_train_seed_0,40027,-83.01832208022712,81,True,0.049967897285647746,11.199595854414897,40.0,False
heldout,sac_train_seed_0,40028,-24.323628017364165,43,True,0.036871047649392606,8.816138735461257,40.0,False
heldout,sac_train_seed_0,40029,-194.6434873616309,250,False,0.1818449996187181,12.750710923784128,40.0,False
heldout,sac_train_seed_0,40030,-96.00515742734864,250,False,0.07992482585779873,14.683412390266783,40.0,False
heldout,sac_train_seed_0,40031,-67.81972083119499,55,True,0.018481948851552885,9.544205945696264,40.0,False
heldout,sac_train_seed_0,40032,-56.672733033051166,250,False,0.08084284197257778,6.413274018069405,40.0,False
heldout,sac_train_seed_0,40033,-31.883718354530387,44,True,0.03680966011578241,7.503663683389606,40.0,False
heldout,sac_train_seed_0,40034,-26.977539679131052,38,True,0.021528139422973457,10.486383305064562,40.0,False
heldout,sac_train_seed_0,40035,-25.276461073142073,69,True,0.04827332563289479,6.541459236659318,40.0,False
heldout,sac_train_seed_0,40036,-138.16278094477224,250,False,0.24057240411259517,8.88048890284085,40.0,False
heldout,sac_train_seed_0,40037,-110.05169980649917,250,False,0.14479185957326884,17.138277557878517,40.0,False
heldout,sac_train_seed_0,40038,-84.00152484945838,250,False,0.07292299874021016,3.7040445701537417,40.0,False
heldout,sac_train_seed_0,40039,-87.97701876164967,250,False,0.1236447804577414,3.3015075578572124,40.0,False
heldout,sac_train_seed_0,40040,-52.976287697635954,250,False,0.09559595826798427,5.605454002320462,32.950462341308594,False
heldout,sac_train_seed_0,40041,-250.19018893068088,250,False,0.30952113320757674,8.93009395818944,40.0,False
heldout,sac_train_seed_0,40042,-39.048415972635844,66,True,0.048385389863324114,9.320957523015286,40.0,False
heldout,sac_train_seed_0,40043,-62.82829566286286,72,True,0.040671115672241166,4.852553835833372,40.0,False
heldout,sac_train_seed_0,40044,-59.392193802878566,58,True,0.012669227163094439,8.949536131356918,40.0,False
heldout,sac_train_seed_0,40045,-68.30055522405038,65,True,0.04924786643557161,9.866211858759517,40.0,False
heldout,sac_train_seed_0,40046,-81.38604573668057,77,True,0.028708535402335242,13.660878260659294,40.0,False
heldout,sac_train_seed_0,40047,-122.22120049022452,92,True,0.02777334261222342,10.653384245082048,40.0,False
heldout,sac_train_seed_0,40048,-26.498856878440797,58,True,0.048196049345029225,13.542287515975747,40.0,False
heldout,sac_train_seed_0,40049,-73.0532215101965,250,False,0.0714917100210029,10.881896675089575,40.0,False
heldout,sac_train_seed_0,40050,-28.87016560889682,44,True,0.046319194649166014,7.545411864811161,40.0,False
heldout,sac_train_seed_0,40051,-38.943470740378096,59,True,0.049543137796441,10.168971722569372,40.0,False
