arm,scenario,seed,origin,outcome,steps,final_distance,success,unsafe_episode,normalized_violation_max,safety_infeasible,safety_intervention_fraction,true_delay,selected_lag,converged_at_step,prediction_error_rms_joint1,prediction_error_rms_joint2
fixed,id_reference,50000,official,timeout,250,1.0143006951105742,False,False,0.0,False,0.0,0,,,,
fixed_hocbf,id_reference,50000,official,timeout,250,1.0143006951105742,False,False,0.0,False,0.0,0,,,,
adaptive,id_reference,50000,official,success,43,0.043400374977773715,True,False,0.0,False,0.0,0,0,16,0.4735557104622064,0.03063002348670152
adaptive_hocbf,id_reference,50000,official,success,43,0.043400374977773715,True,False,0.0,False,0.0,0,0,16,0.4735557104622064,0.03063002348670152
fixed,id_reference,50001,official,timeout,250,0.3814842194679267,False,True,0.6370154020792675,False,0.0,0,,,,
fixed_hocbf,id_reference,50001,official,timeout,250,0.38155300152403704,False,False,0.0,False,0.16,0,,,,
adaptive,id_reference,50001,official,success,86,0.04837697305183185,True,True,0.7645520833578632,False,0.0,0,0,63,0.13077592220070133,0.02332351642922184
adaptive_hocbf,id_reference,50001,official,success,89,0.048142361282662076,True,False,0.0,False,0.43820224719101125,0,0,48,0.46795844528306213,0.036507134434638634
fixed,id_reference,50002,official,timeout,250,0.3942937606173745,False,False,0.0,False,0.0,2,,,,
fixed_hocbf,id_reference,50002,official,timeout,250,0.39436607622257314,False,False,0.0,False,0.06,2,,,,
adaptive,id_reference,50002,official,success,36,0.042352624571879174,True,False,0.0,False,0.0,2,2,6,0.07381742712317697,0.053833273212970975
adaptive_hocbf,id_reference,50002,official,success,44,0.049301777623623685,True,False,0.0,False,0.3409090909090909,2,2,5,0.11652935624623696,0.025995940609379185
fixed,id_reference,50003,official,timeout,250,0.5482550021471382,False,True,0.8179455851476867,False,0.0,0,,,,
fixed_hocbf,id_reference,50003,official,timeout,250,0.5476540492331481,False,False,0.0,False,0.116,0,,,,
adaptive,id_reference,50003,official,success,63,0.03912834181541295,True,True,0.8179455851476867,False,0.0,0,0,,0.05438898800181044,0.07195886996550772
adaptive_hocbf,id_reference,50003,official,success,80,0.049404921302265405,True,False,0.0,False,0.275,0,0,46,0.032350472577172454,0.018646399851858043
fixed,id_reference,50004,official,timeout,250,0.43908653885318233,False,True,0.23849383307144145,False,0.0,2,,,,
fixed_hocbf,id_reference,50004,official,timeout,250,0.4391175275064623,False,False,0.0,False,0.084,2,,,,
adaptive,id_reference,50004,official,success,54,0.0478399849521449,True,True,0.4782968277461368,False,0.0,2,2,43,0.1918055759116548,0.11015288582993481
adaptive_hocbf,id_reference,50004,official,success,51,0.04594842968976,True,False,0.0,False,0.2549019607843137,2,2,25,0.039312554499308476,0.08656170610539957
fixed,id_reference,50005,official,timeout,250,0.13720619134595638,False,True,1.0664252698785797,False,0.0,1,,,,
fixed_hocbf,id_reference,50005,official,timeout,250,0.13720613125073214,False,False,0.0,False,0.132,1,,,,
adaptive,id_reference,50005,official,success,66,0.047411424874981165,True,True,1.0664252698785797,False,0.0,1,1,33,0.21834763281620553,0.025923558176293358
adaptive_hocbf,id_reference,50005,official,success,67,0.04676819296711754,True,False,0.0,False,0.3582089552238806,1,1,12,0.6963799192475028,0.028778489651801513
fixed,id_reference,50006,official,timeout,250,0.20437118746531416,False,False,0.0,False,0.0,0,,,,
fixed_hocbf,id_reference,50006,official,timeout,250,0.20453805970969002,False,False,0.0,False,0.076,0,,,,
adaptive,id_reference,50006,official,success,46,0.04996360742992054,True,True,0.6392065856677913,False,0.0,0,0,45,0.6909173245984921,0.08237690947802932
adaptive_hocbf,id_reference,50006,official,success,49,0.04999785237580799,True,False,0.0,False,0.2857142857142857,0,0,45,0.7863302755615078,0.047302966083653586
fixed,id_reference,50007,official,timeout,250,0.5441536640389393,False,True,0.5776136857635483,False,0.0,2,,,,
fixed_hocbf,id_reference,50007,official,timeout,250,0.5439875639034725,False,False,0.0,False,0.096,2,,,,
adaptive,id_reference,50007,official,success,81,0.04767065338566089,True,True,0.5925415139429071,False,0.0,2,2,51,0.07846780007792845,0.028853473793905352
adaptive_hocbf,id_reference,50007,official,success,74,0.049265992522383936,True,False,0.0,False,0.25675675675675674,2,2,38,0.8037565106965291,0.017903966103707536
fixed,id_reference,50008,official,timeout,250,0.3645517640647632,False,True,0.4057402658523651,False,0.0,0,,,,
fixed_hocbf,id_reference,50008,official,timeout,250,0.3645547700440653,False,False,0.0,False,0.196,0,,,,
adaptive,id_reference,50008,official,success,76,0.04866633150579191,True,True,0.2089034483022815,False,0.0,0,0,54,0.2383693875213204,0.10950462505465593
adaptive_hocbf,id_reference,50008,official,abort,22,1.1568377804384837,False,False,0.0,True,0.7391304347826086,0,0,,0.4258393390153129,0.024400096362245483
fixed,id_reference,50009,official,timeout,250,0.3578878850731513,False,True,0.49636034076789826,False,0.0,0,,,,
fixed_hocbf,id_reference,50009,official,timeout,250,0.3584476147280975,False,True,0.04136152230517901,False,0.14,0,,,,
adaptive,id_reference,50009,official,success,54,0.03778801457758286,True,True,0.46559575476100257,False,0.0,0,0,,0.8929902539284656,0.047303436804891054
adaptive_hocbf,id_reference,50009,official,success,59,0.03893013513809137,True,False,0.0,False,0.3389830508474576,0,0,39,0.46133470638039226,0.05848531025679272
fixed,id_reference,50010,official,timeout,250,0.149407366726941,False,True,0.9561660071045883,False,0.0,0,,,,
fixed_hocbf,id_reference,50010,official,timeout,250,0.14940733727475405,False,False,0.0,False,0.072,0,,,,
adaptive,id_reference,50010,official,success,53,0.0461369352962388,True,True,0.9747870097806388,False,0.0,0,0,52,0.3293925423494037,0.03650884102387283
adaptive_hocbf,id_reference,50010,official,success,58,0.04955166891358084,True,False,0.0,False,0.25862068965517243,0,0,28,0.23322811001425994,0.037804625393783556
fixed,id_reference,50011,official,timeout,250,0.5521033014587253,False,False,0.0,False,0.0,0,,,,
fixed_hocbf,id_reference,50011,official,timeout,250,0.5521033014587253,False,False,0.0,False,0.0,0,,,,
adaptive,id_reference,50011,official,success,41,0.04380415335971462,True,False,0.0,False,0.0,0,0,25,0.13198575163536438,0.03496322791155737
adaptive_hocbf,id_reference,50011,official,success,41,0.04380415335971462,True,False,0.0,False,0.0,0,0,25,0.13198575163536438,0.03496322791155737
fixed,id_reference,50012,official,success,65,0.049966038761896286,True,True,0.5820213356620361,False,0.0,2,,,,
fixed_hocbf,id_reference,50012,official,success,89,0.049730858153738636,True,False,0.0,False,0.15730337078651685,2,,,,
adaptive,id_reference,50012,official,success,57,0.04705368906192229,True,True,0.9680099282224792,False,0.0,2,2,44,0.4987327245820493,0.05063436899971708
adaptive_hocbf,id_reference,50012,official,success,49,0.04724145603535127,True,False,0.0,False,0.20408163265306123,2,2,23,0.5854651007961834,0.07864183808650033
fixed,id_reference,50013,official,timeout,250,0.5621969871307222,False,True,0.6066697162902526,False,0.0,0,,,,
fixed_hocbf,id_reference,50013,official,timeout,250,0.5616832608722496,False,False,0.0,False,0.156,0,,,,
adaptive,id_reference,50013,official,success,59,0.049478218763636915,True,True,0.6066697162902526,False,0.0,0,0,59,0.04314121648018769,0.12143013484474033
adaptive_hocbf,id_reference,50013,official,success,68,0.04524166147701395,True,False,0.0,False,0.25,0,0,36,0.07213863788290714,0.07730981280455226
fixed,id_reference,50014,official,timeout,250,0.6388040846029872,False,True,1.4770369184546794,False,0.0,1,,,,
fixed_hocbf,id_reference,50014,official,timeout,250,0.6403190394822362,False,False,0.0,False,0.196,1,,,,
adaptive,id_reference,50014,official,success,107,0.0490866221941484,True,True,3.0109752422235543,False,0.0,1,1,62,0.17162660591641704,0.015135485128712049
adaptive_hocbf,id_reference,50014,official,success,75,0.045905607462229124,True,False,0.0,False,0.5066666666666667,1,1,45,0.11474412389543433,0.023372785971595672
fixed,id_reference,50015,official,timeout,250,0.7265440873967471,False,True,0.5700223020082418,False,0.0,2,,,,
fixed_hocbf,id_reference,50015,official,timeout,250,0.7254988488792771,False,False,0.0,False,0.112,2,,,,
adaptive,id_reference,50015,official,success,70,0.04643441723801831,True,True,0.5645844279074121,False,0.0,2,2,63,0.18989093256711317,0.043158470087595435
adaptive_hocbf,id_reference,50015,official,success,68,0.04750332813844044,True,False,0.0,False,0.27941176470588236,2,2,46,0.09447085026243557,0.04637968445394364
fixed,id_reference,50016,official,timeout,250,0.7836395110825997,False,True,0.5185036642047709,False,0.0,0,,,,
fixed_hocbf,id_reference,50016,official,timeout,250,0.7860541009480252,False,False,0.0,False,0.152,0,,,,
adaptive,id_reference,50016,official,success,56,0.04790861553328439,True,True,0.46804180112193516,False,0.0,0,0,,0.46587669300279677,0.016701675154435245
adaptive_hocbf,id_reference,50016,official,success,65,0.047211678618583434,True,False,0.0,False,0.3230769230769231,0,0,43,0.3423172709865691,0.05572293606448961
fixed,id_reference,50017,official,timeout,250,0.2583046068787902,False,True,0.3387310945703578,False,0.0,0,,,,
fixed_hocbf,id_reference,50017,official,timeout,250,0.2583050112420684,False,False,0.0,False,0.128,0,,,,
adaptive,id_reference,50017,official,success,68,0.046062511787519876,True,True,0.2182945575997551,False,0.0,0,0,49,0.17121697669516137,0.08351552712177447
adaptive_hocbf,id_reference,50017,official,success,58,0.04955018188782478,True,False,0.0,False,0.3620689655172414,0,0,29,1.0631689574471113,0.03771592912930082
