condition,training_seed,scenario,reference,success_difference,paired_bootstrap_ci95_low,paired_bootstrap_ci95_high,bootstrap_samples
A0,-1,ood_compound,id_reference,-0.08,-0.14,-0.03,10000
A0,-1,motor_fault,id_reference,-0.05,-0.1,0.0,10000
A2,0,ood_compound,id_reference,-0.5,-0.6,-0.4,10000
A2,0,motor_fault,id_reference,-0.35,-0.46,-0.23,10000
A3,0,ood_compound,id_reference,-0.55,-0.66,-0.44,10000
A3,0,motor_fault,id_reference,-0.29,-0.4,-0.18,10000
A4,0,ood_compound,id_reference,-0.16,-0.23,-0.09,10000
A4,0,motor_fault,id_reference,-0.13,-0.2,-0.06,10000
A5,0,ood_compound,id_reference,-0.5,-0.6,-0.4,10000
A5,0,motor_fault,id_reference,-0.36,-0.47,-0.25,10000
A6,0,ood_compound,id_reference,-0.12,-0.19,-0.06,10000
A6,0,motor_fault,id_reference,-0.09,-0.15,-0.04,10000
A2,1,ood_compound,id_reference,-0.51,-0.61,-0.41,10000
A2,1,motor_fault,id_reference,-0.28,-0.38,-0.17,10000
A3,1,ood_compound,id_reference,-0.62,-0.72,-0.52,10000
A3,1,motor_fault,id_reference,-0.44,-0.55,-0.33,10000
A4,1,ood_compound,id_reference,-0.15,-0.22,-0.08,10000
A4,1,motor_fault,id_reference,-0.13,-0.2,-0.07,10000
A5,1,ood_compound,id_reference,-0.42,-0.52,-0.32,10000
A5,1,motor_fault,id_reference,-0.29,-0.4,-0.18,10000
A6,1,ood_compound,id_reference,-0.12,-0.19,-0.06,10000
A6,1,motor_fault,id_reference,-0.1,-0.17,-0.04,10000
A2,2,ood_compound,id_reference,-0.53,-0.63,-0.42,10000
A2,2,motor_fault,id_reference,-0.32,-0.43,-0.21,10000
A3,2,ood_compound,id_reference,-0.53,-0.63,-0.43,10000
A3,2,motor_fault,id_reference,-0.3,-0.41,-0.18,10000
A4,2,ood_compound,id_reference,-0.15,-0.22,-0.08,10000
A4,2,motor_fault,id_reference,-0.11,-0.19,-0.04,10000
A5,2,ood_compound,id_reference,-0.5,-0.6,-0.4,10000
A5,2,motor_fault,id_reference,-0.37,-0.49,-0.25,10000
A6,2,ood_compound,id_reference,-0.13,-0.2,-0.07,10000
A6,2,motor_fault,id_reference,-0.1,-0.16,-0.05,10000
A2,3,ood_compound,id_reference,-0.46,-0.56,-0.36,10000
A2,3,motor_fault,id_reference,-0.32,-0.43,-0.21,10000
A3,3,ood_compound,id_reference,-0.57,-0.67,-0.46,10000
A3,3,motor_fault,id_reference,-0.37,-0.48,-0.26,10000
A4,3,ood_compound,id_reference,-0.13,-0.2,-0.07,10000
A4,3,motor_fault,id_reference,-0.1,-0.17,-0.04,10000
A5,3,ood_compound,id_reference,-0.47,-0.58,-0.36,10000
A5,3,motor_fault,id_reference,-0.33,-0.44024999999999975,-0.22,10000
A6,3,ood_compound,id_reference,-0.14,-0.21,-0.08,10000
A6,3,motor_fault,id_reference,-0.11,-0.17,-0.05,10000
A2,4,ood_compound,id_reference,-0.31,-0.42,-0.2,10000
A2,4,motor_fault,id_reference,-0.16,-0.27,-0.05,10000
A3,4,ood_compound,id_reference,-0.27,-0.39,-0.15,10000
A3,4,motor_fault,id_reference,-0.09,-0.21,0.03,10000
A4,4,ood_compound,id_reference,-0.13,-0.2,-0.07,10000
A4,4,motor_fault,id_reference,-0.09,-0.16,-0.02,10000
A5,4,ood_compound,id_reference,-0.34,-0.44,-0.24,10000
A5,4,motor_fault,id_reference,-0.21,-0.32,-0.1,10000
A6,4,ood_compound,id_reference,-0.13,-0.2,-0.07,10000
A6,4,motor_fault,id_reference,-0.1,-0.16,-0.05,10000
