condition,training_seed,scenario,successes,episodes,success_rate,success_ci95_low,success_ci95_high,reward_mean,reward_std,final_distance_mean,fault_exposure_rate
A0,-1,id_reference,8,100,0.08,0.041093461484380624,0.14998107700948735,-154.62519580320455,65.826950856761,0.3284664037455145,0.0
A0,-1,ood_compound,0,100,0.0,3.469446951953614e-18,0.03699349820698568,-327.4431745552454,75.6555504895513,0.90141985032298,0.0
A0,-1,motor_fault,3,100,0.03,0.010254524024038925,0.0845193642905276,-257.3508771734099,87.19332633305203,0.7603702791136783,1.0
A2,0,id_reference,58,100,0.58,0.4820648670304296,0.6720161732564526,-79.3895885841091,44.96424157556961,0.08036272334510856,0.0
A2,0,ood_compound,8,100,0.08,0.041093461484380624,0.14998107700948735,-212.41857047224613,85.89757128071308,0.41752498103265673,0.0
A2,0,motor_fault,23,100,0.23,0.15843265880303448,0.3215438302287378,-143.7087869753944,88.52893250515659,0.3056743914436357,1.0
A3,0,id_reference,71,100,0.71,0.6146110882442888,0.7898516425087772,-71.49733668846079,41.04333154724484,0.06079887855337893,0.0
A3,0,ood_compound,16,100,0.16,0.10095288488804782,0.24420269389270244,-204.24299281355184,92.64052739234583,0.35707420095373155,0.0
A3,0,motor_fault,42,100,0.42,0.3279838267435473,0.5179351329695703,-130.1097190467536,94.63077527830842,0.2588505347803881,1.0
A4,0,id_reference,16,100,0.16,0.10095288488804782,0.24420269389270244,-139.0376526860531,64.71425449630853,0.2723353835290734,0.0
A4,0,ood_compound,0,100,0.0,3.469446951953614e-18,0.03699349820698568,-317.4485649424454,76.76244865836962,0.8717539188965854,0.0
A4,0,motor_fault,3,100,0.03,0.010254524024038925,0.0845193642905276,-246.01962322705978,88.23472770393288,0.7303541337628573,1.0
A5,0,id_reference,53,100,0.53,0.4328885697009936,0.6248918204065872,-105.65651863401742,72.78812185580021,0.1444593346830378,0.0
A5,0,ood_compound,3,100,0.03,0.010254524024038925,0.0845193642905276,-361.35243823514554,169.93632089247586,0.9695004313608255,0.0
A5,0,motor_fault,17,100,0.17,0.10893566114059931,0.25548004767601123,-202.33336457202154,125.34016459743258,0.5290981430280807,1.0
A6,0,id_reference,12,100,0.12,0.06999406437019488,0.19812099426711421,-146.0543156040509,72.2461998921129,0.3249892383982366,0.0
A6,0,ood_compound,0,100,0.0,3.469446951953614e-18,0.03699349820698568,-384.5531203243263,157.585506752767,1.1537315400376604,0.0
A6,0,motor_fault,3,100,0.03,0.010254524024038925,0.0845193642905276,-259.2062040794783,103.32158504570822,0.7655309999223746,1.0
