scenario,controller,seed,steps,state_observations,unsafe_state_observations,unsafe_state_fraction,unsafe_episode,unsafe_entry_count,first_unsafe_observation,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,normalized_violation_mean,normalized_violation_max,normalized_violation_integral,command_attempts,candidate_constraint_violation_steps,candidate_constraint_violation_fraction,candidate_constraint_margin_min,executed_constraint_margin_min,safety_enabled,safety_infeasible,safety_certified_steps,safety_intervention_steps,safety_intervention_fraction,safety_correction_mean,safety_correction_max,fault_seen,success
id_reference,P0_inloop_reference_train_seed_30,650000,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,236,0.944,-189.58502151991607,-4.263256414560601e-14,True,False,250,236,0.944,4.204761310158657,13.280628963807702,False,False
id_reference,P0_inloop_reference_train_seed_30,650001,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,69,0.276,-277.8899213173603,-4.263256414560601e-14,True,False,250,69,0.276,2.3906627082452783,21.570869243761635,False,False
id_reference,P0_inloop_reference_train_seed_30,650002,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,22,0.088,-360.74852219498433,-1.4210854715202004e-14,True,False,250,22,0.088,1.348063593312792,30.628572263035725,False,False
id_reference,P0_inloop_reference_train_seed_30,650003,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,37,0.148,-278.52073491684064,-2.1316282072803006e-14,True,False,250,37,0.148,2.417019964721507,32.65882280171028,False,False
id_reference,P0_inloop_reference_train_seed_30,650004,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,12,0.048,-233.55117403024389,-7.105427357601002e-15,True,False,250,12,0.048,0.5389045192431277,18.617151572629314,False,False
id_reference,P0_inloop_reference_train_seed_30,650005,250,251,3,0.01195219123505976,True,1,24,0.0,1.3914895941787861,0.0016246830560328065,0.19878422773982662,0.008155908941284689,250,72,0.288,-461.464181325051,-7.105427357601002e-14,True,False,250,72,0.288,3.1901203457088823,33.52874953831824,False,False
id_reference,P0_inloop_reference_train_seed_30,650006,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,33,0.132,-79.96021302352796,-2.1316282072803006e-14,True,False,250,33,0.132,0.6684521562583274,12.936639229734416,False,False
id_reference,P0_inloop_reference_train_seed_30,650007,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,65,0.26,-277.05171247536975,-4.973799150320701e-14,True,False,250,65,0.26,2.380698377443583,21.285834998099727,False,False
id_reference,P0_inloop_reference_train_seed_30,650008,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,12,0.048,-120.62468721903429,-3.552713678800501e-14,True,False,250,12,0.048,0.24602551295226358,8.752688056498453,False,False
id_reference,P0_inloop_reference_train_seed_30,650009,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,18,0.072,-370.61930932806746,-1.7763568394002505e-14,True,False,250,18,0.072,1.571773108528437,31.464341714078085,False,False
id_reference,P0_inloop_reference_train_seed_30,650010,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,41,0.164,-349.419190598316,-4.973799150320701e-14,True,False,250,41,0.164,3.3991190266695113,26.603134142352285,False,False
id_reference,P0_inloop_reference_train_seed_30,650011,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,16,0.064,-101.45299513999521,-1.4210854715202004e-14,True,False,250,16,0.064,0.16528859454178246,7.7810573696538246,False,False
id_reference,P0_inloop_reference_train_seed_30,650012,75,76,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,75,18,0.24,-121.50237352967387,-1.7763568394002505e-14,True,False,75,18,0.24,0.9786163304443471,9.121406179114247,False,True
id_reference,P0_inloop_reference_train_seed_30,650013,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,29,0.116,-396.6441933101667,-1.4210854715202004e-14,True,False,250,29,0.116,2.5150364334114403,30.562207495490057,False,False
id_reference,P0_inloop_reference_train_seed_30,650014,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,9,0.036,-293.640599542235,-2.842170943040401e-14,True,False,250,9,0.036,0.36187274161728633,24.277137000855106,False,False
id_reference,P0_inloop_reference_train_seed_30,650015,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,23,0.092,-66.58223685894363,-3.552713678800501e-14,True,False,250,23,0.092,0.21461804101751425,4.8449570234649935,False,False
id_reference,P0_inloop_reference_train_seed_30,650016,142,143,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,142,69,0.4859154929577465,-373.928169387871,-7.105427357601002e-14,True,False,142,69,0.4859154929577465,9.434525821772151,26.21997243694699,False,True
id_reference,P0_inloop_reference_train_seed_30,650017,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,6,0.024,-75.11144398952844,-1.4210854715202004e-14,True,False,250,6,0.024,0.05392958548637136,5.286396979753821,False,False
id_reference,P0_inloop_reference_train_seed_30,650018,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,32,0.128,-305.5799404935675,-2.842170943040401e-14,True,False,250,32,0.128,2.000851037657246,24.893780522156217,False,False
