condition,training_seed,scenario,episodes,success_mean,unsafe_episode_mean,safety_infeasible_mean,normalized_violation_integral_mean,unsafe_state_fraction_mean,safety_intervention_fraction_mean,safety_correction_mean_mean,reward_mean,unsafe_state_fraction_pooled,intervention_fraction_pooled
P0_inloop_reference,30,id_reference,500,0.232,0.078,0.044,0.003026566681850384,0.010678587477692809,0.29591962482390843,3.164985626700489,-139.28065678566384,0.012527254321756736,0.26138786207436093
P0_inloop_reference,31,id_reference,500,0.286,0.104,0.046,0.007105663691457227,0.022912575129615996,0.36307897687253426,3.91369908643232,-132.53308460571307,0.027937934104153943,0.31428274212004575
P0_inloop_reference,32,id_reference,500,0.242,0.084,0.048,0.002929771534394069,0.011043194057890275,0.305620810169808,3.3127310978031654,-134.9181858475263,0.013237087840675052,0.26607799409318306
P0_inloop_reference,33,id_reference,500,0.196,0.092,0.052,0.0036002702326606963,0.017965056812384462,0.3146995080469508,3.2593849778848463,-141.02357020472175,0.02006208323752587,0.27139997305152935
P0_inloop_reference,34,id_reference,500,0.218,0.076,0.048,0.0016294862078202782,0.01122967976114273,0.34065755078275506,3.542492857357782,-133.50602941629575,0.013138742795039494,0.29806586207568875
P1_inloop_half_penalty,30,id_reference,500,0.25,0.076,0.046,0.002311642934111793,0.008471435096593793,0.29542607051527575,3.1324003038727715,-134.12898453931905,0.009667207629580654,0.25563440535507576
P1_inloop_half_penalty,31,id_reference,500,0.426,0.078,0.044,0.002180511629279225,0.011941804256761168,0.39687589352673946,3.992321805352445,-121.18435216156941,0.016396488457429515,0.3533127817090544
P1_inloop_half_penalty,32,id_reference,500,0.32,0.058,0.048,0.0018433504251677104,0.005756176428879734,0.3565819453256004,3.7718646982319717,-123.76702854436131,0.006926574026419626,0.2996400396603009
P1_inloop_half_penalty,33,id_reference,500,0.192,0.106,0.052,0.00597192181911165,0.027402822254379833,0.3699330591123207,3.98739450932826,-135.5183713206532,0.03150907298973853,0.3276742380120365
P1_inloop_half_penalty,34,id_reference,500,0.212,0.066,0.052,0.002452556759512861,0.013138704658430684,0.3176950020803494,3.417040824443093,-132.3780085123935,0.014579734754223146,0.2781552398599959
P0_inloop_reference,30,ood_compound,100,0.0,0.29,0.03,0.03297162761539618,0.032211098625441255,0.7782248433048433,9.755507613887497,-448.8140779533595,0.03092193946325722,0.7740731627296588
P0_inloop_reference,31,ood_compound,100,0.02,0.23,0.03,0.03237538768567198,0.03274444994452062,0.787170409792228,10.087182481746943,-434.6952540780057,0.031074026881499444,0.7847887091449324
P0_inloop_reference,32,ood_compound,100,0.0,0.2,0.03,0.045282270224955734,0.038285900524908746,0.7912020360043794,10.22851500597513,-437.05669875041684,0.0374545603071519,0.7872959895021734
