episode,step,safety_infeasible,command_attempts,safety_certified_steps,safety_intervention_steps,safety_correction_sum,safety_correction_max
1,250,0,250,250,34,724.8000987373528,32.81030535257584
2,410,0,160,160,34,81.99508946427571,5.38859887538196
3,660,0,250,250,32,620.0142094076274,32.80644075336359
4,801,0,141,141,20,327.1983559997664,30.720409130729657
5,1051,0,250,250,94,778.9121382616321,30.41984128879381
6,1301,0,250,250,51,459.0731172999804,22.256351771662647
7,1551,0,250,250,66,141.04310502723527,5.219850505300797
8,1801,0,250,250,53,141.78611025791,10.39200513979829
9,2050,0,249,249,106,988.1751720295434,33.985932428820185
10,2300,0,250,250,97,372.06403116086545,26.794952366712458
11,2550,0,250,250,117,695.9384776596469,22.88450201953217
12,2800,0,250,250,65,182.38580857359344,8.587488785885
13,2904,0,104,104,16,241.9929423233257,31.797129021027864
14,3154,0,250,250,88,1014.5683383963045,32.03654686467572
15,3205,0,51,51,9,21.405793412693427,5.358549550735068
16,3297,0,92,92,24,47.66757528842686,6.889841727548533
17,3359,0,62,62,15,45.4930211874747,5.354334500989187
18,3609,0,250,250,103,341.24252198743903,14.460704418711998
19,3859,0,250,250,11,37.67607925356564,8.844713849395442
20,4109,0,250,250,121,2417.8257868007054,31.875818268091326
21,4359,0,250,250,77,1313.8916163289869,32.712565258095786
22,4609,0,250,250,53,101.43865522115058,5.352124617552976
23,4672,0,63,63,14,38.442336153002685,7.3458273712239315
24,4922,0,250,250,67,1457.6877067393552,31.57859299223856
25,5172,0,250,250,121,675.878782293936,27.13252262899695
26,5422,0,250,250,48,780.1145377139612,31.114077886901633
27,5590,0,168,168,22,50.19913317529752,5.986557698309456
28,5840,0,250,250,80,846.0036422064962,32.840325776688324
29,5875,1,35,34,34,758.0581290857024,30.61596040146351
30,6125,0,250,250,82,485.1606517999421,27.91783268689349
31,6241,0,116,116,11,40.90532738998286,5.656664348537115
32,6491,0,250,250,61,346.65690915919026,29.569366591433326
33,6741,0,250,250,157,1368.3002730796002,31.33946726955821
34,6991,0,250,250,25,78.78408480324046,8.787200962300918
35,7241,0,250,250,167,1053.0244673915247,23.587935113799013
36,7491,0,250,250,163,2470.81211006256,37.11388696852969
37,7741,0,250,250,42,185.91064903945377,11.67963167386072
38,7853,0,112,112,10,40.0537477650519,7.819492774978904
39,8103,0,250,250,39,219.7986946447599,15.269806192677896
40,8353,0,250,250,34,129.65716140958642,11.661958279318908
41,8603,0,250,250,210,1354.906680933597,29.43326064063816
42,8684,0,81,81,19,245.25990229037393,19.344280641141744
43,8934,0,250,250,130,375.0296671915196,31.606017716469403
44,9184,0,250,250,92,850.035603169364,28.30473334287793
45,9434,0,250,250,175,901.6484120518973,18.535157873411038
46,9684,0,250,250,121,1123.0392608077777,28.424964505937403
47,9934,0,250,250,218,1431.5577785829769,27.313935260269403
48,10184,0,250,250,208,1980.1608517950594,31.237542460489006
49,10434,0,250,250,28,244.44039517335418,17.64279631691033
50,10684,0,250,250,105,236.1522401055205,8.88771488655832
51,10934,0,250,250,44,46.71613459648589,7.826053650100207
52,11184,0,250,250,42,101.57340565334971,6.091442840937249
53,11250,1,66,65,65,1555.2018216442236,31.903329554898058
54,11500,0,250,250,184,801.4748550461277,15.80705883998687
55,11750,0,250,250,30,390.2214736226155,18.924279395464474
56,12000,0,250,250,20,99.25651460740056,8.679854029297923
57,12250,0,250,250,38,171.52385592081396,15.747678451789712
58,12500,0,250,250,232,655.4092274409437,16.898030079770518
59,12750,0,250,250,78,1377.5972986407705,32.55011174397333
60,13000,0,250,250,66,289.1540024236802,13.571674666171077
61,13250,0,250,250,28,434.212837244072,22.33024715243703
62,13500,0,250,250,72,622.0697035138875,19.957348981539027
63,13750,0,250,250,51,242.61255182888428,14.611528508749252
