episode,step,reward,success,final_distance
1,250,-146.4540226684712,0,0.22641811480014504
2,397,-84.1521749931754,1,0.009750773306491755
3,647,-210.70060613600813,0,0.7042449416403261
4,769,-91.53193646325383,1,0.03405040994409065
5,1019,-148.57193029110186,0,0.42747766205956494
6,1269,-227.05053491284366,0,0.6211454041344324
7,1519,-142.43013706284557,0,0.19989980391443748
8,1769,-267.3072575594759,0,0.30451836138766364
9,2019,-169.27880748914333,0,0.42064515613689846
10,2269,-108.47827289529677,0,0.23935517600306946
11,2519,-292.7189879639037,0,0.37638452682135976
12,2769,-116.47946506249514,0,0.15917678870427182
13,2869,-100.58570711627078,1,0.01971480778243596
14,2969,-92.75585357727618,1,0.02145600271009909
15,3219,-195.16238461202073,0,0.6643587993267944
16,3469,-129.975954303222,0,0.24667628710745018
17,3542,-59.16613373695604,1,0.03949728022236978
18,3792,-166.45067795208416,0,0.43729589295975935
19,4042,-169.4525449848584,0,0.3027427496404445
20,4292,-220.85756194782977,0,0.46818315408360195
21,4542,-259.749479495632,0,0.49044284977115155
22,4792,-289.8152352332298,0,0.9075429811890925
23,5042,-168.71083609872844,0,0.5430429718980339
24,5157,-84.91062958973072,1,0.028843654929525026
25,5181,-575.8417510421984,0,2.5679306064170637
26,5431,-345.3538535028002,0,0.5984042349011153
27,5681,-197.19062412989703,0,0.313753129608417
28,5782,-92.39054374701888,1,0.04508969749457071
29,6032,-380.9836054580932,0,1.1938885734048397
30,6282,-243.34464390509783,0,0.7825394932084001
31,6328,-23.50845956784262,1,0.01933900462418774
32,6578,-183.01766561542408,0,0.47653112400505376
33,6636,-21.913093307429765,1,0.038028738203283785
34,6768,-86.53933781939591,1,0.04802025480789141
35,7018,-269.1968574095314,0,0.3818604020337298
36,7268,-169.41101464073702,0,0.5089824653680299
37,7518,-184.0455589642973,0,0.36144448360115516
38,7768,-335.93620966565464,0,0.7663409765255591
39,8018,-76.57293922595052,0,0.15673370532597455
40,8268,-255.1228583138761,0,0.8815686863048343
41,8332,-685.4888524044936,0,1.9780174612656203
42,8582,-393.56482138296667,0,1.387123499228494
43,8832,-201.79678660140166,0,0.48975018692423944
44,9082,-303.8427988737229,0,0.883165210418384
45,9332,-229.8913813850715,0,0.13554030218651422
46,9582,-161.90927529427887,0,0.11293083974588905
47,9687,-75.80471364386179,1,0.02806010940320945
48,9928,-90.24491186203437,1,0.049609190252071514
49,10178,-166.07359687812036,0,0.5633823348520836
50,10428,-317.11184967942137,0,1.108666406409294
51,10678,-442.72818153552254,0,1.2676739524355174
52,10853,-79.68073014258525,1,0.04948968115003738
53,11103,-241.7480419851811,0,0.6541572673594909
54,11353,-249.87871577458063,0,0.13217326812924654
55,11603,-114.18199703222658,0,0.24219456236414502
56,11853,-183.63560072618282,0,0.5868054857114916
57,12103,-250.65725624435547,0,0.5620566597299019
58,12353,-341.9210331541337,0,1.1163595047639403
59,12603,-121.69493618517247,0,0.4491203520094902
60,12853,-198.66028200484203,0,0.37640255769068215
61,13103,-86.93538644515515,0,0.18661932571759976
