episode,step,reward,success,final_distance
1,250,-213.74810312135298,0,0.6889457547436718
2,500,-195.97757462427785,0,0.5264044746341444
3,577,-54.53151073172076,1,0.048956705332006606
4,827,-296.00707323718075,0,0.6871514794098325
5,1077,-151.11823650342012,0,0.1869430916535252
6,1327,-82.68064474735336,0,0.15887973531296087
7,1405,-57.68113552067958,1,0.04687239397743238
8,1540,-85.7798126325518,1,0.04713876098409201
9,1790,-150.82800192491382,0,0.39740739896523775
10,2040,-92.99272268127538,0,0.22786191772529077
11,2105,-455.84387348285543,0,2.010804257775215
12,2355,-109.97583269343872,0,0.2536020244382312
13,2605,-334.5641821142565,0,0.7540509982131444
14,2855,-231.46150800720537,0,0.11903019716436447
15,2921,-30.43182349866492,1,0.045555775669787024
16,3171,-108.31139910268392,0,0.19733949464033826
17,3421,-314.7400032235636,0,0.5929235440578944
18,3497,-515.1595310791778,0,2.067934785012098
19,3747,-199.64616033869243,0,0.5697357415519015
20,3997,-278.7132751355348,0,0.7194450099459284
21,4096,-101.51031055147726,1,0.046028825998611016
22,4346,-201.96165439096336,0,0.4073288735971434
23,4596,-106.0718293281767,0,0.11122158943842964
24,4846,-218.74958858526304,0,0.08904985593158055
25,5096,-261.4431488175853,0,0.7654184699149355
26,5267,-72.57699368080767,1,0.028113764349490394
27,5517,-186.14671725543377,0,0.4199084601347773
28,5767,-250.55137186878625,0,0.6217843326052055
29,6017,-143.20945879342042,0,0.37296422797856665
30,6104,-36.057555430171696,1,0.04859163404075113
31,6354,-221.89714062602707,0,0.12534536384289355
32,6604,-167.08635658406243,0,0.3326609334802344
33,6854,-102.36595698253846,0,0.08952323284469582
34,7104,-183.65111663946718,0,0.48503430340434683
35,7268,-83.3725711220429,1,0.04181486143084765
36,7518,-187.83052852478843,0,0.3391380509982924
37,7768,-101.33016324207865,0,0.12169336847567372
38,8005,-78.85508436058893,1,0.02660919738136949
39,8211,-112.2771770470705,1,0.04981767790144777
40,8461,-91.40436909114098,0,0.14856058094431104
41,8711,-154.01813301651939,0,0.4391159258236724
42,8961,-228.89354841238907,0,0.3632934049057633
43,9211,-161.1047983889242,0,0.35256251417296375
