episode,step,safety_infeasible,command_attempts,safety_certified_steps,safety_intervention_steps,safety_correction_sum,safety_correction_max
1,250,0,250,250,53,332.19329599582846,26.58884567217001
2,397,0,147,147,52,205.746220524153,22.17397187562917
3,647,0,250,250,88,259.58732947897846,9.087255615835609
4,769,0,122,122,57,335.27833533068343,27.841965831238753
5,1019,0,250,250,25,270.7288700100774,23.505844839208102
6,1269,0,250,250,208,1247.2369171757505,28.358035981915403
7,1519,0,250,250,92,408.3881145204709,27.515928140215276
8,1769,0,250,250,97,1409.0661454611452,32.4298355576939
9,2019,0,250,250,67,237.26714672493196,10.809445147774777
10,2269,0,250,250,16,228.72279689551542,29.1065461000983
11,2519,0,250,250,84,1541.0193428252644,32.47449194737828
12,2769,0,250,250,30,146.98395372022966,14.107022767611072
13,2869,0,100,100,36,136.28941403248987,8.649052104730442
14,2969,0,100,100,24,410.7874484092476,31.732703922152428
15,3219,0,250,250,36,218.60467501984672,14.960667378566924
16,3469,0,250,250,21,381.95184443292686,30.254405172141283
17,3542,0,73,73,28,92.7359905321069,7.80541782690621
18,3792,0,250,250,56,156.85084362165927,15.198735864996571
19,4042,0,250,250,139,547.0003067581423,22.56743516762809
20,4292,0,250,250,63,858.7985420576642,32.43462173998507
21,4542,0,250,250,50,965.1418628703562,32.0020853645082
22,4792,0,250,250,105,308.5915605336162,7.214585304260254
23,5042,0,250,250,65,208.84310346651472,13.653816861541301
24,5157,0,115,115,38,200.60664474703668,24.227426549818947
25,5181,1,24,23,21,371.4407071600258,38.09852805187022
26,5431,0,250,250,195,1618.2168668891154,32.49058985421453
27,5681,0,250,250,96,508.1174363741268,29.13518653670554
28,5781,0,100,100,48,385.9902386359663,32.08926350951879
29,6031,0,250,250,233,2225.2577245984403,32.62916923205734
30,6281,0,250,250,84,313.4915855976992,11.966690091239688
31,6531,0,250,250,12,9.725916242545093,1.9344186734650488
32,6781,0,250,250,73,220.1937195464314,9.789014202154918
33,6820,0,39,39,11,63.82925830337563,11.606953446052497
34,7070,0,250,250,19,106.27767048410304,18.27425639943398
35,7320,0,250,250,79,1337.1214613521781,35.120611119684334
36,7570,0,250,250,56,143.44096517893135,6.599061965942383
37,7820,0,250,250,29,725.6715911045553,33.787351688756075
38,8070,0,250,250,54,1196.3840127132755,31.20971819000492
39,8149,0,79,79,15,102.56919387351577,13.266084622645025
40,8399,0,250,250,1,0.11490028558985443,0.11490028558985443
41,8464,1,65,64,64,1536.3708523487032,47.14821501224248
42,8714,0,250,250,70,236.05233068845476,9.994882769300075
43,8964,0,250,250,17,79.75605940028026,7.893203805246793
44,9214,0,250,250,64,364.9016534406314,28.336962453137087
45,9464,0,250,250,57,677.2878190060993,32.08156389288031
46,9714,0,250,250,40,321.59587940065205,28.81885960878782
47,9866,0,152,152,17,86.36011110938261,15.843136820867327
48,10116,0,250,250,12,129.57526611442415,29.03889691565872
49,10183,0,67,67,19,179.16465722153313,18.716626755004512
50,10433,0,250,250,105,319.05966115265016,7.629898706873094
51,10683,0,250,250,249,3158.980959663136,31.963394450690192
52,10933,0,250,250,16,358.22682219245553,31.998119343676493
53,11183,0,250,250,21,452.4579656066188,31.32327377950254
54,11433,0,250,250,44,1243.3886972732662,33.06189004603747
55,11683,0,250,250,16,130.65426576024797,26.19647047734692
56,11933,0,250,250,36,137.95765364800744,8.339028147013012
57,12183,0,250,250,223,1310.2806821673244,14.60327576006976
58,12433,0,250,250,124,457.54828873264785,8.802267746305574
59,12683,0,250,250,20,39.359314131898216,5.632782399982087
60,12933,0,250,250,187,794.2419773111777,10.194642723292423
61,13183,0,250,250,7,55.364555402284644,17.090841819348295
62,13243,1,60,59,56,747.0301180798696,23.309258559022528
63,13493,0,250,250,33,374.888755836998,27.805696210693924
64,13743,0,250,250,18,30.13809194893458,3.674503119965274
65,13993,0,250,250,31,62.28582451242316,7.307197093963623
66,14074,0,81,81,17,339.8910402888982,29.539443333081163
67,14114,1,40,39,39,666.8925322497018,51.24521232818145
68,14192,0,78,78,15,39.49877473466874,4.196482763295728
69,14253,1,61,60,59,1066.4326266907613,31.971009486641538
70,14503,0,250,250,42,216.752747889149,12.47950000636428
71,14753,0,250,250,64,285.6460305857809,9.948305326475817
72,15003,0,250,250,70,986.3967525826625,36.444684222112365
73,15086,0,83,83,44,233.38700814356525,23.179444616938024
74,15336,0,250,250,41,668.5920425561189,37.41448409182331
75,15586,0,250,250,57,938.9321814638735,24.963065925465973
76,15836,0,250,250,175,363.4925661181851,9.043628865478787
77,16086,0,250,250,35,688.9363629622352,28.977712326200557
78,16336,0,250,250,20,339.9912701224103,28.34428548305281
79,16586,0,250,250,56,1117.5058409651645,31.271915854153043
80,16646,1,60,59,51,1021.0157142673245,33.94106284699896
81,16896,0,250,250,29,355.96101561995374,27.048735588679943
82,17146,0,250,250,248,2935.4250811442994,32.549997551271446
83,17396,0,250,250,248,2204.813514021486,14.484203082843766
84,17646,0,250,250,10,19.45769138917615,5.479794292134477
85,17896,0,250,250,250,2918.0177101693207,33.32595775671734
86,17946,0,50,50,30,173.71472012765182,8.942740347404591
87,18196,0,250,250,50,516.6406269626935,27.487129912210065
88,18446,0,250,250,13,184.98777376034454,24.03343385912128
89,18696,0,250,250,117,636.6347763700112,18.68503307288736
90,18946,0,250,250,246,2984.574888985449,35.11477877948597
91,19196,0,250,250,6,3.118013775704158,1.0234791023247576
92,19446,0,250,250,40,470.30542196660895,17.16576485377039
93,19495,0,49,49,17,168.35553211177486,20.639726838224774
94,19745,0,250,250,31,246.0723973130282,27.07521826653789
95,19995,0,250,250,67,1462.6476924756544,31.708508908277025
96,20245,0,250,250,31,263.5809527239928,13.34818093212145
97,20495,0,250,250,243,1817.0672086398743,14.46129828588154
98,20562,1,67,66,65,1102.2019824144224,31.401434997348634
99,20812,0,250,250,17,393.70813415592517,30.40017437582586
100,21062,0,250,250,233,2184.5311944009645,19.096635111377623
101,21312,0,250,250,65,279.9457270983957,8.12931468000253
102,21562,0,250,250,40,163.37681963255434,9.705305730511062
103,21812,0,250,250,150,417.642827504375,21.957593574477883
104,22062,0,250,250,37,756.398895622591,31.60499526662473
105,22312,0,250,250,36,252.97748152494546,11.133257927975146
106,22562,0,250,250,14,48.952509691860946,6.165290718542613
107,22812,0,250,250,37,934.7721966742483,34.23311625613786
108,23062,0,250,250,42,920.7559862607263,27.5356256586962
109,23312,0,250,250,6,26.848527865984845,6.968340098218632
110,23562,0,250,250,25,503.62664772482367,31.524656862575878
111,23812,0,250,250,62,203.67363200464436,9.689254810945105
112,23900,0,88,88,39,418.53325031596944,20.301837437988816
113,24150,0,250,250,68,178.07204935578244,7.530679823417631
114,24400,0,250,250,43,1025.8187701088023,31.985110304456928
115,24650,0,250,250,97,234.47118717727773,7.918259714132897
