episode,step,reward,success,final_distance
1,250,-198.23382462341215,0,0.4482678655415214
2,388,-68.85084286226471,1,0.04847018687330285
3,638,-173.76036253997637,0,0.17895650050579257
4,888,-203.55306972796322,0,0.4445571597704721
5,1138,-139.85127162902273,0,0.43847560127729124
6,1388,-244.91845501361044,0,0.8127916121891852
7,1638,-196.48625294834335,0,0.23611723382662758
8,1888,-244.71854329647567,0,0.7040199870522951
9,1939,-36.05499785568435,1,0.04973887967775212
10,2048,-91.91124658505129,1,0.049001078669653204
11,2298,-198.36246235344987,0,0.4780757724329023
12,2548,-202.71180281142287,0,0.7309527280473587
13,2628,-55.14767842070342,1,0.03824306360399882
14,2878,-169.7465641770162,0,0.5491419946350591
15,2925,-60.53258496841539,1,0.04802255427426399
16,3175,-290.28217956125593,0,0.9114176603992543
17,3425,-99.48037250059578,0,0.13803044114570928
18,3675,-169.99112670561067,0,0.18387758921666855
19,3925,-298.92721781281085,0,0.802348306329059
20,4175,-176.21060495722443,0,0.0810777115138214
21,4257,-38.5632290791102,1,0.04073740866113668
22,4507,-233.39620444716888,0,0.8247026849503962
23,4757,-231.4830305658715,0,0.34493895412961456
24,5007,-232.01383067057526,0,0.29892307023728854
25,5101,-37.95808730514899,1,0.04898050438078227
26,5180,-123.80764318274879,1,0.040125060335069344
27,5430,-231.01821956902913,0,0.41507987173614547
28,5680,-184.22442053831216,0,0.10362866355509079
29,5930,-186.91948545996345,0,0.5191743209175071
30,6180,-287.4869789841797,0,1.0736482923372286
31,6430,-197.41222009400107,0,0.4559180653975969
32,6680,-231.46392350483526,0,0.5015025180947709
33,6781,-76.03172473670199,1,0.03723327352998841
34,7031,-207.03123031408623,0,0.34000143217944767
35,7281,-228.48151266278083,0,0.69642474774129
36,7531,-160.78585629830894,0,0.40563366374038284
37,7781,-299.045879797128,0,0.9492845320855722
38,7931,-140.44403168369072,1,0.04027880042200114
39,8181,-215.67667735564132,0,0.2849066231323643
40,8431,-128.39444196223334,0,0.35376676868895196
41,8681,-149.6814048046264,0,0.19545625410916964
42,8931,-175.55076758850194,0,0.20719374003619614
43,9181,-70.59646788037341,0,0.18143746496271254
44,9243,-26.75759811581706,1,0.047005633383895115
45,9493,-155.19604307159986,0,0.14954372821720108
46,9743,-188.38290721484773,0,0.25268327480282554
47,9993,-85.95768536314974,0,0.1675921295023994
48,10243,-178.21591257292565,0,0.41033300027704267
49,10493,-212.24960769554934,0,0.3525967282125077
50,10743,-105.98431741386648,0,0.13511703499038621
51,10993,-237.23810623006068,0,0.42479404395293935
52,11243,-129.30547228334774,0,0.23286649632939352
53,11314,-109.38089321468303,1,0.04538092592120431
54,11564,-191.7013369706184,0,0.14571818489981903
55,11814,-183.8747598245003,0,0.15034608572523314
56,12064,-208.66938107997476,0,0.2695599539845469
57,12314,-69.25356824249964,0,0.13528273687484701
58,12564,-84.49685458984202,0,0.17469084484874728
59,12814,-165.09608566210886,0,0.3618797023407196
60,12925,-36.84257333424115,1,0.04957533632555245
61,12989,-37.517757466139514,1,0.04843540602814124
62,13239,-211.55389762888723,0,0.36669380498523263
63,13489,-128.18247280905533,0,0.14707721855427774
64,13739,-98.42936643618049,0,0.17148889542846385
65,13824,-76.92173684753675,1,0.04866365105501961
66,13869,-27.12788412406922,1,0.0304426890689081
67,14119,-165.182512831716,0,0.3367490600097479
68,14369,-133.65285731764712,0,0.22823842733718538
69,14619,-74.07593632997464,0,0.15917613434721736
70,14869,-91.83386198058922,0,0.2224660577568938
71,15119,-92.81663867037142,0,0.26228450344521703
72,15369,-199.90890216477692,0,0.2212287053201005
73,15619,-124.41629821914928,0,0.10712025429339633
74,15869,-137.89488958179754,0,0.13400992710503623
75,16043,-161.21525078242374,1,0.04289231379918015
76,16293,-142.0409520433457,0,0.1397815661391225
77,16363,-67.21810700511085,1,0.047367721292945586
78,16613,-451.2975089597591,0,0.3274975233547915
79,16863,-98.94055432376673,0,0.1401894531836935
80,17113,-200.6191930177092,0,0.22873787073715926
81,17363,-179.45778142594597,0,0.22290770136868499
82,17450,-107.68981157966547,1,0.03708448926343136
83,17700,-128.226298720378,0,0.19711150941955788
84,17950,-196.2859262606217,0,0.3133553819234855
85,18200,-58.89418189386699,0,0.10765373729561843
86,18450,-166.48406384672532,0,0.13581677802734107
87,18700,-141.27611408757238,0,0.08935055777117328
88,18840,-46.174138271456755,1,0.02273085355242144
89,19090,-116.79693566071491,0,0.12105140700269668
90,19138,-25.484238009573957,1,0.04528080547059613
91,19388,-215.75071116804367,0,0.6857338419433624
92,19493,-64.81560634145808,1,0.049416669698734074
93,19743,-74.08146118309185,0,0.2180194345806237
94,19993,-166.5949841336393,0,0.17483668267469382
95,20243,-140.8403158774289,0,0.09440631335912947
96,20493,-124.62141372796167,0,0.16367347765340687
97,20743,-93.96833631403919,0,0.25456143606557513
98,20993,-78.10480838765432,0,0.23733503034691533
99,21243,-112.46015611469502,0,0.1624732112255588
100,21493,-150.623596953792,0,0.14875729520364706
101,21736,-45.18651001622382,1,0.0411751089798116
102,21986,-195.90315083374404,0,0.19049238887824446
103,22236,-224.95731135854575,0,0.25552210582575985
104,22486,-164.94850548392594,0,0.1516178720562136
105,22736,-131.7948834895951,0,0.268864284207299
106,22807,-49.192766394974484,1,0.04953756662559156
107,23057,-103.79970125487709,0,0.12947871292067478
108,23307,-137.3546938293479,0,0.3251061500996415
109,23557,-84.86308348728178,0,0.21664168899365394
110,23807,-125.38315794443714,0,0.16293817344982478
111,24057,-135.79779813566134,0,0.15430326310813772
112,24307,-211.29084987365644,0,0.2365037422311555
113,24353,-31.673229798602037,1,0.0455622236062812
114,24414,-47.15859484477009,1,0.04641427529079626
115,24664,-111.72860683643682,0,0.16497246821353914
116,24868,-142.95509421673515,1,0.04881105407392509
117,24909,-17.176163246897683,1,0.044846486390988954
118,25159,-156.97374271980604,0,0.5078317047306017
119,25409,-154.4008341921696,0,0.10255983635247817
120,25659,-105.56455607080338,0,0.24019819019218702
121,25909,-192.94504489206795,0,0.13007917396885424
122,26159,-129.18789280316068,0,0.14990289773660376
123,26409,-133.2535968424709,0,0.2773391077300134
124,26659,-201.77106244495442,0,0.33330234037425294
125,26909,-200.17245495114136,0,0.21142242299582584
126,26996,-57.326600335393316,1,0.030851910922740224
127,27057,-38.43593567302576,1,0.0428781539187576
128,27178,-88.92873583016737,1,0.04640440000072323
129,27237,-31.970726985807254,1,0.049580293192341425
130,27487,-228.95130616706584,0,0.24660691187512004
131,27737,-54.414582157708175,0,0.18126380112393806
132,27987,-73.00615458566794,0,0.059724027116460215
133,28084,-66.92921636623792,1,0.047479905791955206
134,28334,-129.26982396149063,0,0.1385649802190705
135,28584,-112.38162754546244,0,0.3360413838449658
136,28834,-241.70811602991074,0,0.2652517647944398
137,29084,-117.25179404447378,0,0.12137123634571909
138,29138,-18.514377100904426,1,0.04978108133469642
139,29388,-109.04140745351425,0,0.28988281735519333
140,29422,-16.29744268007321,1,0.016887261756327758
141,29514,-45.34800782290389,1,0.049388455458192364
142,29764,-194.93425064285472,0,0.12209816983198295
143,30014,-183.44360965697916,0,0.35593958992959174
144,30053,-22.27388841746355,1,0.03835016927691019
145,30303,-93.6695408663709,0,0.2749004386629853
146,30553,-125.52584979030124,0,0.1235352268426533
147,30803,-78.54383233246875,0,0.2977236270657876
148,30969,-149.63103108185834,1,0.049769451794158204
149,31219,-134.1564792720955,0,0.12653902114023816
150,31469,-158.31804478133975,0,0.2977687927374783
151,31719,-118.68382558833886,0,0.3691564706097067
152,31969,-120.39567056127576,0,0.2927040182905731
153,32219,-253.50179227113009,0,0.3406122865282741
154,32285,-67.98866268942879,1,0.046413690675051696
155,32412,-85.87575418528851,1,0.03251670873589683
156,32461,-34.646869736956134,1,0.04583146957349677
157,32711,-101.84005687846577,0,0.08011366873618164
158,32770,-64.48572021286604,1,0.04610601165899702
159,33020,-134.94842282577255,0,0.4478697518161832
160,33066,-36.24290111463795,1,0.04919630798726639
161,33137,-106.77699688053458,1,0.04524917538424214
162,33387,-83.15279133655424,0,0.08776083476705293
163,33445,-31.004949772610516,1,0.04974323117286138
164,33695,-114.30954364380902,0,0.20348058617952577
165,33945,-173.12842546916363,0,0.1912325379317474
166,34195,-176.03269397975907,0,0.3356529305955255
167,34251,-63.16171174666066,1,0.040115660184248884
168,34501,-205.8898165793029,0,0.5949282497146449
169,34590,-82.85193392020847,1,0.03912741103018834
170,34840,-159.5561493640198,0,0.3381410056084393
171,35090,-134.55811189243153,0,0.23214987560014955
172,35340,-68.97563387037363,0,0.09719389991855511
173,35590,-131.130037621613,0,0.10906509910294611
174,35840,-235.54006560209365,0,0.25051947501641497
175,35908,-24.51056886085347,1,0.04973095007631587
176,36158,-169.4393117061917,0,0.38102463347972443
177,36408,-86.96819182937406,0,0.21343919470431233
178,36658,-151.84156920569146,0,0.688749769058926
179,36908,-89.20559127316861,0,0.19875520741672625
180,37158,-206.11975908831792,0,0.17304665190923235
181,37208,-57.89408940377714,1,0.018226197841945475
182,37252,-27.04463183783957,1,0.01970453044829565
183,37502,-79.60737884386846,0,0.20439322138590113
184,37607,-137.61063189335,1,0.03485953709853341
185,37803,-90.27759319010433,1,0.04729186320643756
186,38053,-132.8530327982766,0,0.13636817849715416
187,38303,-133.79877227930555,0,0.22667963044169587
188,38377,-31.842310260026757,1,0.01969168055369619
189,38627,-124.00356651558923,0,0.2760191221359373
190,38877,-125.24639207565683,0,0.27319866250777486
191,39127,-199.09163003699908,0,0.25979605811062084
192,39377,-228.56965673663078,0,0.5524723889806374
193,39627,-222.2408904503169,0,0.17526423545866024
194,39715,-38.44712292762454,1,0.036286468213158465
195,39965,-188.16655393316435,0,0.15423951147122777
196,40215,-73.68801966877759,0,0.28599207792263454
197,40465,-153.8801966678027,0,0.05237561573089656
198,40512,-35.66411940307689,1,0.03869665463901845
199,40762,-158.86576712837564,0,0.3188805737198372
200,41012,-183.02197365080121,0,0.33052091039075454
201,41262,-120.52768987066125,0,0.15167574627390376
202,41453,-84.55349552298946,1,0.028450084197400218
203,41511,-18.61324372299222,1,0.02711073364579276
204,41761,-141.90604268618418,0,0.33722527702996846
205,42011,-131.1787858265151,0,0.23935477150016918
206,42261,-89.65514951807425,0,0.13474276640635177
207,42511,-192.1595658281761,0,0.23548531410068466
208,42761,-81.09747679747599,0,0.2218870551951814
209,43011,-58.25743219713847,0,0.11584283674440932
210,43069,-61.30704283805604,1,0.02969215930255137
211,43319,-76.9949448004834,0,0.12607247152687573
212,43569,-111.93438689069868,0,0.10949660391965318
213,43650,-36.993923521792524,1,0.0487738565034669
214,43900,-124.6754987115778,0,0.14474730456923948
215,44150,-155.33222128989175,0,0.21726402183564755
216,44400,-108.28491322041955,0,0.15354947013922599
217,44650,-178.53171084395018,0,0.11597224791665425
218,44900,-124.32910402458708,0,0.20837548914948814
219,44941,-21.287112225312477,1,0.028644557167215475
220,45014,-95.60466387330071,1,0.03749525485607826
221,45105,-60.289305261223305,1,0.048739757552804845
222,45151,-15.468789778985235,1,0.043754040709404626
223,45401,-196.00518864401482,0,0.17878102153117417
224,45569,-119.5777077969448,1,0.04907438472400341
225,45819,-117.03569933800134,0,0.22429121340459407
226,46069,-84.42072325516337,0,0.1439830940317921
227,46319,-81.71564151023239,0,0.16492623468496628
228,46569,-148.13149184096778,0,0.2838133535523285
229,46819,-156.1393221868934,0,0.39464984892094346
230,47069,-119.49147158618045,0,0.28556713677917506
231,47117,-41.358753914261904,1,0.02797529514632422
232,47367,-60.57242318546452,0,0.07387009055835134
233,47617,-119.29768489803443,0,0.0805667891755245
234,47867,-53.17843053653877,0,0.12257285528381237
235,47958,-63.793689708978285,1,0.04602799526217188
236,48208,-155.52059119831094,0,0.1363668637742842
237,48312,-85.92936719941241,1,0.049520760650889
