scenario,controller,seed,steps,command_attempts,safety_infeasible,safety_certified_steps,safety_intervention_steps,unsafe_state_steps,safety_correction_mean,safety_correction_max,safety_correction_sum,safety_constraint_margin_min,uncertainty_scale_mean,uncertainty_scale_min,uncertainty_norm_mean,uncertainty_norm_max,raw_residual_norm_mean,gated_residual_norm_mean,context_latent_norm_mean,context_latent_norm_max
id_randomized_heldout,A5_train_seed_0,40000,73,73,False,73,55,0,3.6369847947660405,10.617560041973674,265.49989001792096,-4.263256414560601e-14,1.0,1.0,0.0,0.0,6.708133830491938,6.708133830491938,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40001,94,94,False,94,44,0,7.834827800012297,29.752489032399854,736.473813201156,-2.842170943040401e-14,1.0,1.0,0.0,0.0,8.317908114511365,8.317908114511365,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40002,250,250,False,250,235,0,3.925784600773942,14.964114377631377,981.4461501934854,-4.263256414560601e-14,1.0,1.0,0.0,0.0,8.823667692034778,8.823667692034778,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40003,250,250,False,250,67,0,1.7760368206016564,15.037976782779984,444.00920515041406,-1.4210854715202004e-14,1.0,1.0,0.0,0.0,6.948435540702924,6.948435540702924,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40004,250,250,False,250,22,0,1.7417514895505428,32.91924773585051,435.4378723876357,-1.0658141036401503e-14,1.0,1.0,0.0,0.0,5.996543923979321,5.996543923979321,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40005,80,80,False,80,49,0,10.355893276261948,31.510906668384706,828.4714621009559,-1.7763568394002505e-14,1.0,1.0,0.0,0.0,7.7889127125486395,7.7889127125486395,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40006,250,250,False,250,34,0,2.565297854078484,32.222758347543284,641.3244635196211,-3.552713678800501e-14,1.0,1.0,0.0,0.0,6.453530559600046,6.453530559600046,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40007,72,72,False,72,31,0,9.759512156634678,32.905840383921195,702.6848752776968,-2.1316282072803006e-14,1.0,1.0,0.0,0.0,7.9833858562363815,7.9833858562363815,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40008,62,62,False,62,27,0,3.867753694460082,14.468718839247252,239.80072905652509,-3.552713678800501e-14,1.0,1.0,0.0,0.0,5.508399282608945,5.508399282608945,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40009,45,45,False,45,23,0,5.573286757702404,17.69481772791146,250.7979040966082,-4.263256414560601e-14,1.0,1.0,0.0,0.0,7.44502160656658,7.44502160656658,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40010,250,250,False,250,250,1,5.569829911798029,9.990271301819657,1392.4574779495074,-1.7763568394002505e-14,1.0,1.0,0.0,0.0,9.534689164930493,9.534689164930493,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40011,250,250,False,250,20,0,1.0817497864185024,27.187845013409994,270.4374466046256,-1.0658141036401503e-13,1.0,1.0,0.0,0.0,2.536175195690218,2.536175195690218,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40012,75,75,False,75,30,0,7.407699591632843,25.346124778107598,555.5774693724633,-1.4210854715202004e-14,1.0,1.0,0.0,0.0,7.801954437232492,7.801954437232492,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40013,89,89,False,89,73,0,5.96879321750585,15.53023487223627,531.2225963580206,-5.684341886080802e-14,1.0,1.0,0.0,0.0,7.898411902347258,7.898411902347258,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40014,80,80,False,80,50,0,4.528795214366747,12.402283120104766,362.30361714933974,-7.460698725481052e-14,1.0,1.0,0.0,0.0,5.581927096369047,5.581927096369047,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40015,250,250,False,250,89,0,5.4321800478522855,28.93048474771093,1358.0450119630714,-7.105427357601002e-14,1.0,1.0,0.0,0.0,8.713392112706945,8.713392112706945,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40016,106,106,False,106,72,0,3.464124608621441,8.626776728284955,367.19720851387274,-3.552713678800501e-14,1.0,1.0,0.0,0.0,5.288329579438031,5.288329579438031,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40017,70,70,False,70,17,2,1.9767727138713735,12.092358662468895,138.37408997099615,-4.263256414560601e-14,1.0,1.0,0.0,0.0,7.569882581566688,7.569882581566688,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40018,83,83,False,83,29,0,8.271945428506163,33.12361536799214,686.5714705660115,-1.4210854715202004e-14,1.0,1.0,0.0,0.0,6.561280454774493,6.561280454774493,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40019,51,51,False,51,24,0,2.5336593078887684,9.506551942188926,129.21662470232718,-2.842170943040401e-14,1.0,1.0,0.0,0.0,5.5011529233276955,5.5011529233276955,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40020,250,250,False,250,45,0,0.694588468393166,13.971954642557188,173.64711709829152,-2.842170943040401e-14,1.0,1.0,0.0,0.0,5.991046110894622,5.991046110894622,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40021,250,250,False,250,29,0,0.4577450876202872,7.61557674407959,114.4362719050718,-1.4210854715202004e-14,1.0,1.0,0.0,0.0,6.744904269404506,6.744904269404506,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40022,250,250,False,250,112,119,9.07997031864294,31.370889053270748,2269.9925796607354,-9.947598300641403e-14,1.0,1.0,0.0,0.0,7.678480824698795,7.678480824698795,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40023,105,105,False,105,45,0,7.192015820328428,32.22978831426964,755.1616611344849,-2.842170943040401e-14,1.0,1.0,0.0,0.0,6.837484432725557,6.837484432725557,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40024,56,56,False,56,11,0,0.6256376204045763,5.43270754605846,35.035706742656274,-2.1316282072803006e-14,1.0,1.0,0.0,0.0,6.54221075908176,6.54221075908176,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40025,250,250,False,250,76,0,2.4944025927418716,16.94383084796897,623.6006481854679,-5.684341886080802e-14,1.0,1.0,0.0,0.0,6.63278752102932,6.63278752102932,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40026,58,58,False,58,23,0,3.8326719863386467,14.478411887319258,222.2949752076415,-2.1316282072803006e-14,1.0,1.0,0.0,0.0,7.5631302737949015,7.5631302737949015,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40027,86,86,False,86,33,0,8.796885054061475,33.723429510658434,756.5321146492868,-2.1316282072803006e-14,1.0,1.0,0.0,0.0,8.224875597124894,8.224875597124894,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40028,49,49,False,49,18,0,1.696138548293523,9.969438515699055,83.11078886638262,-2.842170943040401e-14,1.0,1.0,0.0,0.0,5.432236222202308,5.432236222202308,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40029,50,51,True,50,49,0,22.49446674777236,32.48006821249628,1147.2178041363904,-21.968154708610285,1.0,1.0,0.0,0.0,9.771110465715829,9.771110465715829,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40030,250,250,False,250,54,0,1.8633869583481755,16.538897992498597,465.8467395870439,-2.3092638912203256e-14,1.0,1.0,0.0,0.0,3.744860456383982,3.744860456383982,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40031,62,62,False,62,34,0,4.510588902794026,18.378968388219608,279.6565119732296,-2.3092638912203256e-14,1.0,1.0,0.0,0.0,5.935678240340131,5.935678240340131,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40032,250,250,False,250,13,0,0.11089148260395777,5.087129058370022,27.722870650989442,-2.842170943040401e-14,1.0,1.0,0.0,0.0,6.06623907665713,6.06623907665713,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40033,56,56,False,56,32,0,5.271145435766956,14.413033244213192,295.1841444029495,-2.842170943040401e-14,1.0,1.0,0.0,0.0,6.3911790190635775,6.3911790190635775,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40034,55,55,False,55,32,0,5.917109837293759,16.811413363214992,325.44104105115673,-2.842170943040401e-14,1.0,1.0,0.0,0.0,6.976566542324124,6.976566542324124,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40035,64,64,False,64,31,0,2.720130134939211,9.484321785597436,174.0883286361095,-1.4210854715202004e-14,1.0,1.0,0.0,0.0,8.576063257886709,8.576063257886709,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40036,250,250,False,250,70,0,6.6402741175841165,32.21756035507931,1660.0685293960291,-2.1316282072803006e-14,1.0,1.0,0.0,0.0,8.351489662491089,8.351489662491089,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40037,250,250,False,250,249,0,10.373649598257385,36.23707376051404,2593.4123995643463,-1.7763568394002505e-14,1.0,1.0,0.0,0.0,4.995810848223449,4.995810848223449,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40038,250,250,False,250,32,0,0.6341622538755431,7.9971489906311035,158.54056346888578,-2.1316282072803006e-14,1.0,1.0,0.0,0.0,7.73935230363514,7.73935230363514,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40039,250,250,False,250,56,0,1.0351694414006298,8.227237255063594,258.7923603501575,-4.263256414560601e-14,1.0,1.0,0.0,0.0,7.387776685816312,7.387776685816312,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40040,250,250,False,250,15,0,0.3792246862971373,12.497778598318073,94.80617157428432,-2.1316282072803006e-14,1.0,1.0,0.0,0.0,5.513303974108008,5.513303974108008,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40041,250,250,False,250,250,0,17.867133067856514,19.09068106174135,4466.783266964128,-2.842170943040401e-14,1.0,1.0,0.0,0.0,10.50821162531669,10.50821162531669,0.0,0.0
