comparison,training_seed,episodes,delta_pp,ci95_low_pp,ci95_high_pp,bootstrap_samples,bootstrap_rng_seed
A2_vs_A1,0,100,60.0,50.0,70.0,100000,1200
A1_vs_A0,0,100,-10.0,-17.0,-4.0,100000,2200
A2_vs_A0,0,100,50.0,38.0,62.0,100000,3200
A2_vs_A1,1,100,48.0,37.0,59.0,100000,1201
A1_vs_A0,1,100,-2.0,-10.0,6.0,100000,2201
A2_vs_A0,1,100,46.0,35.0,57.0,100000,3201
A2_vs_A1,2,100,59.0,49.0,69.0,100000,1202
A1_vs_A0,2,100,-7.0,-14.0,0.0,100000,2202
A2_vs_A0,2,100,52.0,41.0,63.0,100000,3202
A2_vs_A1,3,100,46.0,36.0,56.0,100000,1203
A1_vs_A0,3,100,-1.0,-9.0,7.0,100000,2203
A2_vs_A0,3,100,45.0,34.0,56.0,100000,3203
A2_vs_A1,4,100,39.0,28.0,50.0,100000,1204
A1_vs_A0,4,100,-5.0,-12.0,2.0,100000,2204
A2_vs_A0,4,100,34.0,22.0,46.0,100000,3204
