condition,controller,training_seed,selected_step,successes,episodes,success_rate,wilson_low,wilson_high,reward_mean,reward_std,final_distance_mean
A0,computed_torque,,,11,100,0.11,0.06254196357064568,0.18631296503080313,-152.60753285344782,68.47642394892677,0.35713945198194813
A1,direct_sac,0,100000,1,100,0.01,0.0017674320641406505,0.054486196178705315,-233.71692803060833,83.6031613974788,0.7657799935778484
A1,direct_sac,1,200000,9,100,0.09,0.04807254000256516,0.1622621285271631,-149.75036172657258,71.91054546047953,0.3754308728816419
A1,direct_sac,2,175000,4,100,0.04,0.01566330399154762,0.0983707143588792,-183.48173440635236,105.66665330738113,0.5250030096700165
A1,direct_sac,3,175000,10,100,0.1,0.0552291370606751,0.17436566150491345,-156.5849768186248,92.03991516703117,0.4057880681873136
A1,direct_sac,4,200000,6,100,0.06,0.027786123963188192,0.1247681544589592,-192.71766032520398,111.31147886224517,0.5656931999989891
A2,residual_sac,0,200000,61,100,0.61,0.5120301704584073,0.6998312599360558,-72.72835055125057,44.65017144291966,0.086286498680129
A2,residual_sac,1,200000,57,100,0.57,0.47215389549212305,0.6626670147588988,-76.32227715631748,43.67530650464663,0.0859084637844707
A2,residual_sac,2,200000,63,100,0.63,0.5322052958094291,0.7181763946567546,-74.20143938864604,43.31370606017697,0.08027051236274371
A2,residual_sac,3,150000,56,100,0.56,0.4622810465167699,0.6532797336983921,-79.96086232436362,59.64660082560978,0.09856513250922325
A2,residual_sac,4,200000,45,100,0.45,0.3561453797951198,0.5475539700255787,-82.31343889659021,43.13139230820714,0.09277651671851544
