pairing,filtered,reference,training_seed,scenario,metric,difference,paired_bootstrap_ci95_low,paired_bootstrap_ci95_high,bootstrap_samples
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,id_reference,success_rate,-0.05,-0.11,0.01,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,id_reference,unsafe_episode_rate,-0.66,-0.75,-0.5697500000000036,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,id_reference,unsafe_state_fraction,-0.1513273231864273,-0.20051264164324337,-0.10730377651476242,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,id_reference,normalized_violation_integral,-0.08173473975133858,-0.11169030082431206,-0.05602240665317154,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,id_reference,joint_position_violation_max_rad,-0.1274089421591574,-0.18986306010926485,-0.072163506710268,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,id_reference,joint_velocity_violation_max_rad_s,-2.610944485157568,-3.1331090846159833,-2.096716304962344,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,ood_compound,success_rate,-0.05,-0.1,0.0,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,ood_compound,unsafe_episode_rate,-0.47,-0.57,-0.37,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,ood_compound,unsafe_state_fraction,-0.13306790725854362,-0.17847102043449564,-0.09226672821725682,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,ood_compound,normalized_violation_integral,-0.16526213503211865,-0.31105455111810154,-0.06253414250460633,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,ood_compound,joint_position_violation_max_rad,-0.33050982844442006,-0.6546662608853574,-0.10160017149372201,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,ood_compound,joint_velocity_violation_max_rad_s,-1.8827516116821732,-2.509955959055308,-1.3309658052917661,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,motor_fault,success_rate,-0.06,-0.14,0.02,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,motor_fault,unsafe_episode_rate,-0.5,-0.6,-0.4,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,motor_fault,unsafe_state_fraction,-0.14394425145304557,-0.1921281880665103,-0.10017744160498915,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,motor_fault,normalized_violation_integral,-0.12699947113615712,-0.18621638386220354,-0.07805652484968488,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,motor_fault,joint_position_violation_max_rad,-0.1353792741475626,-0.21192282285052344,-0.06979979582676193,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,0,motor_fault,joint_velocity_violation_max_rad_s,-2.651857330975703,-3.2673749202230047,-2.0757257574274943,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,id_reference,success_rate,-0.09,-0.17,-0.02,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,id_reference,unsafe_episode_rate,-0.7,-0.79,-0.61,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,id_reference,unsafe_state_fraction,-0.19169932300736192,-0.2459670909263059,-0.14000599067112873,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,id_reference,normalized_violation_integral,-0.10308810204981497,-0.13672283507973007,-0.0732041775197836,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,id_reference,joint_position_violation_max_rad,-0.16134071708701112,-0.22745520987601017,-0.10131151260669836,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,id_reference,joint_velocity_violation_max_rad_s,-3.2842687594786693,-3.8648787404461857,-2.716991720081103,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,ood_compound,success_rate,0.0,0.0,0.0,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,ood_compound,unsafe_episode_rate,-0.47,-0.57,-0.36,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,ood_compound,unsafe_state_fraction,-0.11771960773736882,-0.1601192142966543,-0.08086169884509108,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,ood_compound,normalized_violation_integral,-0.18204400204453194,-0.3685545528237195,-0.06718633926653536,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,ood_compound,joint_position_violation_max_rad,-0.3032437193437222,-0.6053195264145618,-0.10956817871895312,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,ood_compound,joint_velocity_violation_max_rad_s,-2.6575740149558085,-3.4167672304301626,-1.9347229637451797,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,motor_fault,success_rate,-0.1,-0.17,-0.04,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,motor_fault,unsafe_episode_rate,-0.56,-0.66,-0.46,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,motor_fault,unsafe_state_fraction,-0.15357426466797472,-0.20464263469868074,-0.10568064950810412,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,motor_fault,normalized_violation_integral,-0.1607622492334947,-0.24279257164869833,-0.09208562793443817,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,motor_fault,joint_position_violation_max_rad,-0.20562740747685684,-0.32108651952047573,-0.10923389534355514,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,1,motor_fault,joint_velocity_violation_max_rad_s,-3.2445691877458698,-3.894456438858335,-2.6074032164497027,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,id_reference,success_rate,-0.04,-0.12,0.04,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,id_reference,unsafe_episode_rate,-0.67,-0.77,-0.57,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,id_reference,unsafe_state_fraction,-0.18747090401199185,-0.2408158791339223,-0.13690788027318218,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,id_reference,normalized_violation_integral,-0.18041947299137326,-0.2674218348434732,-0.10708200909699415,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,id_reference,joint_position_violation_max_rad,-0.19287272248934925,-0.28039683873296306,-0.11599258444902213,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,id_reference,joint_velocity_violation_max_rad_s,-3.2650124878374776,-3.8524503426970527,-2.693338509886237,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,ood_compound,success_rate,-0.01,-0.05,0.02,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,ood_compound,unsafe_episode_rate,-0.47,-0.57,-0.37,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,ood_compound,unsafe_state_fraction,-0.14517313996120484,-0.19324008162709796,-0.09944183126139879,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,ood_compound,normalized_violation_integral,-0.23768507293670968,-0.40513074065064225,-0.11203502616653792,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,ood_compound,joint_position_violation_max_rad,-0.4520281116218277,-0.7740509865315064,-0.2193796734160839,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,ood_compound,joint_velocity_violation_max_rad_s,-2.9642690541366976,-3.7911737904374205,-2.1987401591202658,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,motor_fault,success_rate,-0.09,-0.17,-0.01,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,motor_fault,unsafe_episode_rate,-0.52,-0.62,-0.42,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,motor_fault,unsafe_state_fraction,-0.11042176311354561,-0.16595956076211021,-0.05794115617166792,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,motor_fault,normalized_violation_integral,-0.13916936123432294,-0.21354224644576128,-0.07646656097786701,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,motor_fault,joint_position_violation_max_rad,-0.16907813366695315,-0.25651682597746817,-0.09082935651046026,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,2,motor_fault,joint_velocity_violation_max_rad_s,-3.2773468319870416,-3.904761996592707,-2.6798681287099813,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,id_reference,success_rate,-0.02,-0.08,0.04,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,id_reference,unsafe_episode_rate,-0.74,-0.82,-0.65,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,id_reference,unsafe_state_fraction,-0.16742501671012913,-0.21680475598147486,-0.1218115694383499,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,id_reference,normalized_violation_integral,-0.1214812886541261,-0.18303343257667487,-0.07244603963644333,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,id_reference,joint_position_violation_max_rad,-0.14577418105452813,-0.2184881899910694,-0.0817034552933953,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,id_reference,joint_velocity_violation_max_rad_s,-3.0955498354936175,-3.676872545372534,-2.531678339450383,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,ood_compound,success_rate,-0.03,-0.08,0.01,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,ood_compound,unsafe_episode_rate,-0.52,-0.63,-0.4,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,ood_compound,unsafe_state_fraction,-0.11562898945502738,-0.15612329695786126,-0.0780524816344071,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,ood_compound,normalized_violation_integral,-0.2551379626276928,-0.5297915427926645,-0.07026201065803615,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,ood_compound,joint_position_violation_max_rad,-0.463772427328253,-0.9925944896365136,-0.12787282878867398,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,ood_compound,joint_velocity_violation_max_rad_s,-2.5537640212149553,-3.445525988652116,-1.747280938430813,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,motor_fault,success_rate,-0.03,-0.11,0.05,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,motor_fault,unsafe_episode_rate,-0.6,-0.69,-0.5,10000
