condition,training_seed,scenario,episodes,successes,success_rate,success_ci95_low,success_ci95_high,unsafe_episodes,unsafe_episode_rate,unsafe_episode_ci95_low,unsafe_episode_ci95_high,state_observations,unsafe_state_observations,unsafe_state_fraction,unsafe_entry_count,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,normalized_violation_integral_mean,normalized_violation_integral_max,command_attempts,candidate_constraint_violation_steps,candidate_constraint_violation_fraction,candidate_constraint_margin_min,executed_constraint_margin_min,safety_enabled,safety_infeasible_episodes,safety_infeasible_rate,safety_infeasible_ci95_low,safety_infeasible_ci95_high,safety_intervention_steps,safety_intervention_fraction,safety_correction_mean,safety_correction_max,fault_exposure_rate
A2_unfiltered,0,id_reference,100,58,0.58,0.4820648670304296,0.6720161732564526,72,0.72,0.6251197129007884,0.7986031478881379,14642,2296,0.15680917907389702,121,1.2461610578046693,10.79987863912681,0.08214489581065951,0.9709059707633705,14542,4736,0.32567734837023793,-801.2380144941706,-801.2380144941706,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A5_hocbf,0,id_reference,100,53,0.53,0.4328885697009936,0.6248918204065872,6,0.06,0.027786123963188192,0.1247681544589592,15833,47,0.0029684835470220427,6,0.08912188455935954,1.9689585369743732,0.00041015605932092774,0.012978837749334669,15734,6374,0.4051099529680946,-471.26389408336394,-9.947598300641403e-14,True,1,0.01,0.0017674320641406505,0.054486196178705315,6373,0.4050463963391382,4.011860426803268,37.989309427617016,0.0
A6_prefilter,0,id_reference,100,14,0.14,0.08526343659939134,0.22137188210963837,64,0.64,0.5423540245160874,0.7272877959859567,22365,3682,0.1646322378716745,118,1.6427066819119034,12.280675503873013,0.19084194585604108,2.073492214326128,22265,4727,0.2123063103525713,-878.5945070186037,-881.5872584665246,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A6_hocbf,0,id_reference,100,12,0.12,0.06999406437019488,0.19812099426711421,8,0.08,0.041093461484380624,0.14998107700948735,22330,110,0.0049261083743842365,8,0.192508459985111,3.7272635002305208,0.0009355373729514091,0.02305918344661994,22232,4073,0.18320439006836992,-353.4561467007847,-5.684341886080802e-14,True,2,0.02,0.00550196755016235,0.07001179072854388,4071,0.1831144296509536,1.4412339885402352,30.30096790058929,0.0
A2_unfiltered,0,ood_compound,100,8,0.08,0.041093461484380624,0.14998107700948735,68,0.68,0.5833738138954762,0.7633085267500092,23839,3561,0.1493770711858719,137,11.220696529365885,12.312493277897556,0.1733116752350341,5.585554101865364,23739,13707,0.577404271452041,-1019.0933408462095,-1018.0294750502167,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A5_hocbf,0,ood_compound,100,3,0.03,0.010254524024038925,0.0845193642905276,21,0.21,0.141656540619153,0.29979968834089865,24115,376,0.015591955214596723,25,0.63498142412009,4.850659884524504,0.008049540202915486,0.20813620156212917,24019,18583,0.7736791706565636,-664.590103502776,-1.2789769243681803e-13,True,4,0.04,0.01566330399154762,0.0983707143588792,18579,0.773512635829968,8.510049376444801,60.97831887653944,0.0
A6_prefilter,0,ood_compound,100,0,0.0,3.469446951953614e-18,0.03699349820698568,73,0.73,0.6356788323205499,0.8073041585042365,25100,5232,0.20844621513944223,162,18.617702310777776,23.56133348976853,0.3312310631042147,8.592809379813898,25000,10619,0.42476,-1392.9524940429642,-1384.8713151490151,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A6_hocbf,0,ood_compound,100,0,0.0,3.469446951953614e-18,0.03699349820698568,27,0.27,0.1926958414957634,0.36432116767944994,24300,728,0.029958847736625514,30,1.0270482369304377,3.677267475185154,0.014132820786369167,0.34792996555125155,24204,14649,0.6052305404065443,-500.5744807973232,-5.684341886080802e-14,True,4,0.04,0.01566330399154762,0.0983707143588792,14645,0.6050652784663691,6.047454313504928,47.672234838122804,0.0
A2_unfiltered,0,motor_fault,100,23,0.23,0.15843265880303448,0.3215438302287378,73,0.73,0.6356788323205499,0.8073041585042365,20784,3843,0.18490184757505773,140,1.9354376690961441,13.641654234966111,0.14383964511116315,1.8171313150976243,20684,8857,0.4282053761361439,-1004.8226369941292,-1004.8226369941292,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,1.0
A5_hocbf,0,motor_fault,100,17,0.17,0.10893566114059931,0.25548004767601123,23,0.23,0.15843265880303448,0.3215438302287378,21368,726,0.03397603893672782,31,1.4540098723472914,4.611874861248767,0.016840173975006003,1.0461694551276626,21272,11655,0.5479033471229786,-573.297115640275,-1.1368683772161603e-13,True,4,0.04,0.01566330399154762,0.0983707143588792,11651,0.5477153065062054,5.176549024829626,38.123966013427875,1.0
