scenario,metric,difference,ci95_low,ci95_high,upper_one_sided_95,bootstrap_samples,bootstrap_seed
id_reference,success,-0.1728,-0.236,-0.098,-0.11,20000,170000
id_reference,unsafe_episode,0.0008,-0.0108,0.0124,0.0104,20000,170000
id_reference,safety_infeasible,-0.0004,-0.008,0.0072,0.0064,20000,170000
id_reference,unsafe_state_fraction,0.001520523177236321,-0.0028688568399822954,0.005807644232002996,0.005096979279065527,20000,170000
id_reference,normalized_violation_integral,0.0003505379849453288,-0.00035184403814527684,0.001161831576909378,0.0010191415971175476,20000,170000
id_reference,safety_intervention_fraction,-0.10087787795421559,-0.12077958338246031,-0.07868903275180439,-0.08239222347472155,20000,170000
id_reference,safety_correction_mean,-1.1304911438763523,-1.3877702685834505,-0.8724099946705426,-0.9123637184515201,20000,170000
ood_compound,success,-0.004,-0.03,0.018,0.016,20000,170000
ood_compound,unsafe_episode,0.01,-0.046,0.074,0.064,20000,170000
ood_compound,safety_infeasible,0.006,-0.008,0.02,0.018,20000,170000
ood_compound,unsafe_state_fraction,0.000586905828758741,-0.007467169402377163,0.008542610457976045,0.007276707511715856,20000,170000
ood_compound,normalized_violation_integral,0.004010252480791113,-0.007005069126717084,0.01371903214683736,0.012118345269215453,20000,170000
ood_compound,safety_intervention_fraction,-0.054300102261670924,-0.07460725544014343,-0.035116067216179436,-0.03815246192047576,20000,170000
ood_compound,safety_correction_mean,-2.142006126338758,-3.22438927079083,-0.567016268362608,-0.8236836291588279,20000,170000
motor_fault,success,-0.076,-0.122,-0.03,-0.038,20000,170000
motor_fault,unsafe_episode,0.04,-0.004,0.084,0.078,20000,170000
motor_fault,safety_infeasible,0.0,-0.008,0.008,0.006,20000,170000
motor_fault,unsafe_state_fraction,0.008577356220171367,-0.007248901199980238,0.02478508213006032,0.022070974732820197,20000,170000
motor_fault,normalized_violation_integral,0.01920750369099219,-2.4389934493428738e-05,0.04119876329482524,0.03724901602121258,20000,170000
motor_fault,safety_intervention_fraction,-0.061541810374553876,-0.09395505261266318,-0.030669241673274825,-0.03542318463676862,20000,170000
motor_fault,safety_correction_mean,-0.6732897455085984,-1.0951311275750877,-0.27010270121102964,-0.33396861427415986,20000,170000
