scenario,controller,seed,steps,state_observations,unsafe_state_observations,unsafe_state_fraction,unsafe_episode,unsafe_entry_count,first_unsafe_observation,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,normalized_violation_mean,normalized_violation_max,normalized_violation_integral,command_attempts,candidate_constraint_violation_steps,candidate_constraint_violation_fraction,candidate_constraint_margin_min,executed_constraint_margin_min,safety_enabled,safety_infeasible,safety_certified_steps,safety_intervention_steps,safety_intervention_fraction,safety_correction_mean,safety_correction_max,fault_seen,success
id_reference,C0_posthoc_hocbf_train_seed_20,620000,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,64,0.256,-202.74705972405602,-2.842170943040401e-14,True,False,250,64,0.256,1.4576771508181854,14.918537731829561,False,False
id_reference,C0_posthoc_hocbf_train_seed_20,620001,90,91,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,90,44,0.4888888888888889,-136.25278540049155,-2.1316282072803006e-14,True,False,90,44,0.4888888888888889,3.0495133404755275,9.823880407111629,False,True
id_reference,C0_posthoc_hocbf_train_seed_20,620002,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,13,0.052,-272.97405818619745,-2.1316282072803006e-14,True,False,250,13,0.052,0.7157201342134177,19.805040709111967,False,False
id_reference,C0_posthoc_hocbf_train_seed_20,620003,65,66,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,65,32,0.49230769230769234,-195.6519459175227,-2.842170943040401e-14,True,False,65,32,0.49230769230769234,5.7988096107588705,19.459735458449664,False,True
id_reference,C0_posthoc_hocbf_train_seed_20,620004,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,26,0.104,-246.0958250857712,-3.907985046680551e-14,True,False,250,26,0.104,1.4501800079612568,19.502447043709076,False,False
id_reference,C0_posthoc_hocbf_train_seed_20,620005,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,249,0.996,-398.99496999725744,-5.684341886080802e-14,True,False,250,249,0.996,15.425289815330306,27.938659286294016,False,False
id_reference,C0_posthoc_hocbf_train_seed_20,620006,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,42,0.168,-191.45982138729843,-2.842170943040401e-14,True,False,250,42,0.168,1.6688027141371322,18.251122511496032,False,False
id_reference,C0_posthoc_hocbf_train_seed_20,620007,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,29,0.116,-274.20642126207275,-5.684341886080802e-14,True,False,250,29,0.116,1.5524712082468872,20.025807836245725,False,False
id_reference,C0_posthoc_hocbf_train_seed_20,620008,39,40,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,39,9,0.23076923076923078,-104.93779804791693,-1.4210854715202004e-14,True,False,39,9,0.23076923076923078,0.7142902492314394,7.600182731084021,False,True
id_reference,C0_posthoc_hocbf_train_seed_20,620009,66,67,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,66,33,0.5,-273.6613724295678,-9.237055564881302e-14,True,False,66,33,0.5,4.8194776063505,19.697927028578363,False,True
