condition,training_seed,scenario,episodes,success_rate,reward_mean,unsafe_episode_rate,unsafe_state_fraction,normalized_violation_integral_mean,safety_infeasible_rate,safety_intervention_fraction,safety_correction_mean
C0_posthoc_hocbf,20,id_reference,500,0.488,-114.71198695565614,0.06,0.00783349973120344,0.0006532429427292897,0.044,0.41613434988666803,4.216194955170904
C0_posthoc_hocbf,20,ood_compound,100,0.06,-429.2302585223884,0.21,0.011153829904093963,0.0024526179780288717,0.04,0.8263691511474992,11.562743612333396
C0_posthoc_hocbf,20,motor_fault,100,0.22,-201.45722011119378,0.34,0.10122714264927002,0.045202646416266666,0.03,0.5501949317738791,5.640790536331564
C0_posthoc_hocbf,21,id_reference,500,0.286,-126.5746765063469,0.08,0.016097050060503756,0.0018017918284253549,0.034,0.32682049500296345,3.3453190888561637
C0_posthoc_hocbf,21,ood_compound,100,0.03,-430.45852499979657,0.15,0.01870593114890087,0.016037735890358906,0.03,0.846416524382626,12.612558382094651
C0_posthoc_hocbf,21,motor_fault,100,0.16,-198.87378122758557,0.31,0.1015639459559504,0.05759981006549081,0.04,0.5384829894032348,5.520014555746627
C0_posthoc_hocbf,22,id_reference,500,0.372,-121.29746166051405,0.064,0.010052467321000498,0.0009664112175428097,0.046,0.34986755192760266,3.377085860581753
C0_posthoc_hocbf,22,ood_compound,100,0.04,-422.34664000056057,0.21,0.017230510611472998,0.010529829757200404,0.04,0.8291489092366766,12.761617006490201
C0_posthoc_hocbf,22,motor_fault,100,0.22,-196.98909164986534,0.35,0.11078016910069177,0.0630945466768949,0.03,0.5392152130894348,5.0449320552598405
C0_posthoc_hocbf,23,id_reference,500,0.364,-125.8673675155987,0.062,0.005308982798895732,0.0005129663761993341,0.042,0.34161497662711254,3.4772888416986403
C0_posthoc_hocbf,23,ood_compound,100,0.04,-425.9368680779514,0.18,0.007595676307332749,0.007366111069095876,0.04,0.8239262518332285,10.356707321505324
C0_posthoc_hocbf,23,motor_fault,100,0.14,-203.54940702913197,0.26,0.07629304493415992,0.03347632958895601,0.03,0.4853195164075993,4.643732352649846
C0_posthoc_hocbf,24,id_reference,500,0.476,-114.61706962184925,0.052,0.007920174618023074,0.0006765382266462095,0.044,0.3860622106227336,4.1962627968065
C0_posthoc_hocbf,24,ood_compound,100,0.04,-426.37259683107106,0.17,0.008552713922149444,0.0013384387413269306,0.04,0.8310643823566372,13.176002732708165
C0_posthoc_hocbf,24,motor_fault,100,0.2,-200.70589256561246,0.26,0.07306711979609176,0.030337644144794743,0.03,0.515434586751387,4.8543170804112
C1_inloop_hocbf,20,id_reference,500,0.338,-120.7652203697073,0.062,0.008171097169221483,0.0008243832425336762,0.04,0.3001647053724292,2.9854648593066972
C1_inloop_hocbf,20,ood_compound,100,0.03,-425.69460030899484,0.2,0.018453760269643987,0.013632450371911957,0.05,0.777326565143824,9.020429939922996
C1_inloop_hocbf,20,motor_fault,100,0.19,-204.23484808360095,0.39,0.10162620787178883,0.07592667208817155,0.03,0.4870726394544938,4.960767865620133
C1_inloop_hocbf,21,id_reference,500,0.248,-131.64017271085123,0.066,0.009314630859082514,0.0011190094596369663,0.042,0.2710310374576169,2.6228487731962975
C1_inloop_hocbf,21,ood_compound,100,0.05,-431.00879156109755,0.21,0.009273373983739838,0.005387965693487178,0.04,0.7818452380952381,9.891095592683616
C1_inloop_hocbf,21,motor_fault,100,0.1,-214.01093963418523,0.38,0.12374552753294354,0.103883878844854,0.03,0.47000569650760265,4.670593036280566
C1_inloop_hocbf,22,id_reference,500,0.174,-138.10024854348717,0.058,0.010408071412497187,0.0013981871393651706,0.04,0.2508477130585487,2.193339070681673
C1_inloop_hocbf,22,ood_compound,100,0.05,-431.60825963139274,0.15,0.01518137974418117,0.012909534256409007,0.04,0.7608320350330541,9.383350141551977
C1_inloop_hocbf,22,motor_fault,100,0.11,-206.5549132450273,0.36,0.10179852928147426,0.06099056353841518,0.03,0.4251012145748988,3.5672580723355822
C1_inloop_hocbf,23,id_reference,500,0.144,-141.4577541393099,0.074,0.011988899167437558,0.002081668149505617,0.05,0.2530267131242741,2.406318790063983
C1_inloop_hocbf,23,ood_compound,100,0.02,-427.8445453721992,0.28,0.014570036949949614,0.02133035844749542,0.06,0.7670516819829694,11.12961204625091
C1_inloop_hocbf,23,motor_fault,100,0.05,-223.2706693206713,0.34,0.06908906967921427,0.03304856605543532,0.04,0.4385660473187455,3.980634068657905
C1_inloop_hocbf,24,id_reference,500,0.218,-133.39073331576947,0.062,0.009517000164252795,0.000940392525228211,0.036,0.2970868885717891,2.641532609570375
C1_inloop_hocbf,24,ood_compound,100,0.04,-435.2212824461299,0.13,0.006653442433258947,0.00451568707066299,0.03,0.7989709970540642,9.921618434073112
C1_inloop_hocbf,24,motor_fault,100,0.11,-208.7444260877414,0.25,0.08707631751585393,0.05189881482048801,0.03,0.48590126493323965,4.4966196425149425
