episode,step,reward,success,final_distance
1,250,-194.27746978730303,0,0.1400541941237991
2,311,-65.07630016020417,1,0.0455270325516434
3,561,-216.67514132367728,0,0.5826681893428467
4,633,-42.06730702461824,1,0.028124033258634756
5,883,-116.28836168379455,0,0.05867848754661173
6,1133,-128.54374546478095,0,0.22428195066680906
7,1357,-81.22082663390258,1,0.01921815898818811
8,1607,-315.22139497799526,0,0.7591030428817567
9,1857,-170.2282733112006,0,0.4060952653445243
10,2107,-140.475812343545,0,0.2693416919948372
11,2357,-183.53483487041453,0,0.32451931552938595
12,2607,-221.01985513658352,0,0.563107376743009
13,2707,-70.0166332664475,1,0.04383232010147432
14,2957,-184.9332031853614,0,0.32486734198218276
15,3207,-214.71596823471037,0,0.4937301488685937
16,3457,-186.75028016124963,0,0.5232595338772501
17,3707,-249.5137173517958,0,0.5090377455392113
18,3823,-56.725951402432266,1,0.0413319740334038
19,4073,-252.46256525047977,0,0.16974767368754923
20,4323,-137.1119242079462,0,0.20278398351747945
21,4366,-18.754653111023153,1,0.04084867264762886
22,4616,-105.31834622872331,0,0.18783704707266383
23,4866,-332.6681993712277,0,0.9608529991630718
24,5116,-248.3212288419214,0,0.6817005731999013
25,5366,-163.9685123650734,0,0.42042960776185384
26,5616,-213.49800549979406,0,0.6419330956106428
27,5866,-269.02288449932695,0,0.9239811051023177
28,6116,-347.05715339214584,0,0.8455510696367227
29,6366,-196.96801958702846,0,0.15043498141023876
30,6616,-190.4485480653668,0,0.48290286044736214
31,6866,-227.55704430981785,0,0.6189750510147122
32,7116,-171.08322201060906,0,0.5246619798164687
33,7366,-210.47240552459687,0,0.6078939902184645
34,7616,-382.1671778339798,0,1.2987836604899838
35,7866,-239.5073807460093,0,0.35823890389330554
36,8116,-492.9642251406502,0,0.647084635917413
37,8366,-180.63589642405552,0,0.24171357218559
38,8616,-109.11830772740859,0,0.19250759016927518
39,8866,-245.0569577345666,0,0.3872925848433741
40,9116,-229.3033362716147,0,0.27041209455260046
41,9366,-170.9640161235238,0,0.25874587286342
42,9449,-104.99741171756887,1,0.03622217336766165
43,9699,-167.9492644899807,0,0.3003980590676805
44,9949,-106.45432110146547,0,0.20036854649240568
45,10199,-198.1890545575036,0,0.4411439145683716
46,10449,-212.85345004332243,0,0.531172338815647
47,10612,-95.5506022953444,1,0.049988440127779685
48,10862,-75.35290149116341,0,0.16902496951067422
49,11112,-194.27293771533465,0,0.13210720221040612
50,11163,-29.16064258833068,1,0.04003808044008815
51,11413,-123.87635105099967,0,0.06795471440202365
52,11474,-61.776189802697424,1,0.04382369730822143
53,11724,-167.95685794299337,0,0.09588830120290542
54,11974,-88.35106040086399,0,0.08915084511662584
55,12224,-84.92118913232984,0,0.15279557543220101
56,12474,-160.4342066242542,0,0.27978376716699227
57,12547,-59.42015832130677,1,0.03155745905852276
58,12797,-69.21631291637863,0,0.07439881379367652
59,13027,-172.20184230899278,1,0.04922571410459331
60,13102,-40.77925996408447,1,0.04520760817866802
61,13203,-132.78938204934954,1,0.03230387025026029
62,13453,-108.6566340194953,0,0.13859697000470195
63,13703,-114.13462228271175,0,0.1579223519647734
64,13953,-144.99377558864796,0,0.1803645128082862
65,14203,-186.54236494179992,0,0.3874140228000813
66,14276,-723.4447678710062,0,1.9586572604309698
67,14526,-144.6100592863054,0,0.3532381760460471
68,14776,-330.3766771157261,0,0.8858921400317896
69,15026,-429.7110838440788,0,0.3284613392879146
70,15276,-203.40704223847192,0,0.44097960690448007
71,15526,-89.73601987798885,0,0.20107821036195334
72,15776,-144.385328672642,0,0.289583551488341
73,16026,-110.1038682233821,0,0.15860968723907395
74,16276,-301.41734263271024,0,0.24703657241508956
75,16472,-187.3584053587956,1,0.047022162390980136
76,16722,-135.03180721764397,0,0.19890205330751962
77,16972,-401.8194635590456,0,0.2286257986659338
78,17222,-149.54683247998076,0,0.20850097072628473
79,17472,-136.17666288063984,0,0.18232031834256338
80,17722,-93.25465339028445,0,0.2238123425321334
81,17972,-181.30924265221972,0,0.39417319866440537
82,18088,-181.99134166014724,1,0.048841167371051916
83,18338,-494.5511276575725,0,0.2016004573567629
84,18588,-79.29069788880459,0,0.14318376474976727
85,18838,-116.80981809653144,0,0.13199478488257976
86,19088,-283.84268801290006,0,0.813624276877065
87,19338,-58.481166774990974,0,0.14275473453144177
88,19588,-61.32791456133461,0,0.1590518103135406
89,19672,-69.25091859088135,1,0.0014222279041418639
90,19922,-201.8360534499979,0,0.2320670403636355
91,20172,-161.92360659760254,0,0.0922923587391835
92,20422,-235.19029917972895,0,0.5862483607351492
93,20672,-105.83454424310453,0,0.09252315421300036
94,20823,-78.56912455122745,1,0.04908766127854988
95,21073,-78.13419850157649,0,0.19780638599977673
96,21168,-108.19970156281232,1,0.03084981839360826
97,21418,-125.01189429801347,0,0.16961295886576597
98,21668,-174.38948731842132,0,0.47656822165006346
99,21791,-119.03822452139642,1,0.03577096481399464
100,22041,-435.66287322312223,0,1.149076881185856
101,22285,-65.31495283840171,1,0.04834356853791345
102,22535,-79.86404973969215,0,0.2252444330773709
103,22785,-109.02262122434043,0,0.17460898945638714
104,22865,-38.10591015031446,1,0.03942639735675245
105,23115,-152.27424328559502,0,0.3364433889354457
106,23365,-189.10791370262953,0,0.22670909161601013
107,23615,-183.1509505943572,0,0.14816941208981266
108,23700,-51.14787621857031,1,0.04565471541163476
109,23950,-203.56281682081718,0,0.2227672782066118
110,24200,-117.69398205379805,0,0.07858446736582123
