episode,step,safety_infeasible,command_attempts,safety_certified_steps,safety_intervention_steps,safety_correction_sum,safety_correction_max
1,250,0,250,250,71,455.0144493127725,27.7089277389337
2,500,0,250,250,62,228.37163630834254,14.436545190525301
3,750,0,250,250,71,949.2213338080522,32.72081421992886
4,854,0,104,104,22,266.80375788376665,25.107564009936272
5,1104,0,250,250,85,1160.9211536651997,35.665710918080876
6,1354,0,250,250,102,1454.4365703449198,31.67792707338091
7,1604,0,250,250,45,757.1776100301165,32.57151415440827
8,1854,0,250,250,68,1269.8209922266494,31.827904493183993
9,2104,0,250,250,54,795.7231956639413,30.52345156286137
10,2354,0,250,250,44,118.36187402840372,9.801403743308235
11,2604,0,250,250,65,262.3718731852484,20.927214802668214
12,2854,0,250,250,68,195.0607262108391,8.95644882603182
13,2958,0,104,104,25,142.99436495421537,27.355500246700345
14,3208,0,250,250,86,542.2464392327746,23.252842985576955
15,3458,0,250,250,175,1205.694469418972,25.473814792104005
16,3642,0,184,184,18,337.5180507216178,30.725065572148203
17,3892,0,250,250,50,185.12672957501871,25.837151579590824
18,4142,0,250,250,16,149.03387828412673,19.306503303322387
19,4190,0,48,48,10,26.993107759809217,4.571474987737615
20,4249,0,59,59,17,60.735630460214665,6.831778021715878
21,4353,0,104,104,19,57.96365534216425,7.070191944716831
22,4554,0,201,201,19,371.95409003554755,32.44123985403071
23,4804,0,250,250,48,788.3036011987657,31.4657478329114
24,4869,0,65,65,28,309.26452840833736,29.358682996314624
25,5119,0,250,250,64,170.21469264931642,7.734616254321781
26,5369,0,250,250,91,774.8391691557016,33.36073710584975
27,5619,0,250,250,55,140.17848671422718,15.85247715102707
28,5869,0,250,250,66,359.421485266695,26.134410891032292
29,5936,0,67,67,24,86.32260204612034,6.546665829645705
30,6186,0,250,250,9,20.144807396212997,7.152800529580762
31,6436,0,250,250,94,391.77225966628276,24.548740242755276
32,6686,0,250,250,218,1767.3063623856353,30.635997156790744
33,6936,0,250,250,20,216.03693373606302,20.939892954712526
34,7186,0,250,250,96,368.7580063302657,25.80244836898959
35,7300,0,114,114,69,591.2885902463121,29.130482962206656
36,7550,0,250,250,64,208.2655783948639,20.327741060446808
37,7800,0,250,250,23,464.7020740196067,31.383540875790022
38,8050,0,250,250,33,574.6155587646799,31.841992670523073
39,8094,1,44,43,43,910.5316141303908,33.579320586969764
40,8344,0,250,250,35,719.6261462444199,33.08449679560715
41,8582,0,238,238,36,186.2146043674601,24.05945692993371
42,8832,0,250,250,151,1874.5647742688948,35.134054448249415
43,9082,0,250,250,142,797.2172060790139,29.573447364047393
44,9235,0,153,153,126,1302.8737117402306,32.81686243216514
45,9485,0,250,250,15,72.5770813211074,10.709967650792816
46,9735,0,250,250,56,238.9437978080241,13.011436814697019
47,9985,0,250,250,123,218.1748410816782,8.976868248544209
48,10235,0,250,250,18,241.83505675536733,29.01055471385652
49,10485,0,250,250,89,584.1951693954582,28.72329709642161
50,10735,0,250,250,106,290.54188393818794,26.41127067916206
51,10985,0,250,250,22,445.1581178319216,29.013055983463786
52,11235,0,250,250,23,49.04973573018648,4.70801968766163
53,11485,0,250,250,62,130.95481778968636,7.474834112378015
54,11638,0,153,153,41,346.7383029921523,29.181389842381183
55,11888,0,250,250,158,393.1972036302472,23.548455167168772
56,12138,0,250,250,24,45.566616778310625,5.04676931679412
57,12388,0,250,250,41,97.55119235929754,5.025539935611809
58,12638,0,250,250,65,1114.5196301062401,24.596001351625684
59,12888,0,250,250,17,88.23176240293151,7.210073799608323
60,13138,0,250,250,169,2643.3680220992364,35.4661426025944
61,13388,0,250,250,0,0.0,0.0
62,13638,0,250,250,237,730.8548943879484,7.091196615932664
