policy,training_seed,ensemble_seed,qualifying_episodes,common_episodes,zero_variance_episodes,cell_median_spearman_rho,sensitivity_median_excluding_zero_variance,between_episode_medians_spearman_rho,between_episode_zero_variance
A2,0,0,100,100,0,0.1527776815313556,0.1527776815313556,-0.04862886288628862,False
A2,1,1,100,100,0,0.4200092826964055,0.4200092826964055,0.18217821782178217,False
A2,2,2,100,100,0,0.3174078614097162,0.3174078614097162,0.638043804380438,False
A2,3,3,100,100,0,0.16925762012192194,0.16925762012192194,0.014809480948094807,False
A2,4,4,100,100,0,0.42459630506911406,0.42459630506911406,0.48070807080708067,False
A3,0,0,100,100,0,0.21633889268741674,0.21633889268741674,0.09028502850285026,False
A3,1,1,100,100,0,0.444838695989046,0.444838695989046,0.1868346834683468,False
A3,2,2,100,100,0,0.2777350214501828,0.2777350214501828,0.6989498949894988,False
A3,3,3,100,100,0,0.24150693009082352,0.24150693009082352,0.10639063906390636,False
A3,4,4,100,100,0,0.3979024452356746,0.3979024452356746,0.5189678967896789,False
