condition,training_seed,population,scenario,calibration_policy,calibration_episodes,deployment_episodes,ks_distance
A4c,0,heldout,id_reference,A2,100,100,0.16000000000000003
A4c,0,safety,id_reference,A2,100,100,0.15000000000000002
A4c,0,safety,ood_compound,A2,100,100,0.23999999999999999
A4c,0,safety,motor_fault,A2,100,100,0.12
A4c,1,heldout,id_reference,A2,100,100,0.13
A4c,1,safety,id_reference,A2,100,100,0.080000000000000016
A4c,1,safety,ood_compound,A2,100,100,0.35000000000000003
A4c,1,safety,motor_fault,A2,100,100,0.23000000000000004
A4c,2,heldout,id_reference,A2,100,100,0.15000000000000002
A4c,2,safety,id_reference,A2,100,100,0.13
A4c,2,safety,ood_compound,A2,100,100,0.32999999999999996
A4c,2,safety,motor_fault,A2,100,100,0.29000000000000004
A4c,3,heldout,id_reference,A2,100,100,0.15000000000000002
A4c,3,safety,id_reference,A2,100,100,0.080000000000000071
A4c,3,safety,ood_compound,A2,100,100,0.30999999999999994
A4c,3,safety,motor_fault,A2,100,100,0.28000000000000003
A4c,4,heldout,id_reference,A2,100,100,0.14000000000000001
A4c,4,safety,id_reference,A2,100,100,0.080000000000000071
A4c,4,safety,ood_compound,A2,100,100,0.18999999999999995
A4c,4,safety,motor_fault,A2,100,100,0.17000000000000004
A6c,0,heldout,id_reference,A3,100,100,0.10999999999999999
A6c,0,safety,id_reference,A3,100,100,0.089999999999999969
A6c,0,safety,ood_compound,A3,100,100,0.33999999999999997
A6c,0,safety,motor_fault,A3,100,100,0.099999999999999978
A6c,1,heldout,id_reference,A3,100,100,0.10000000000000001
A6c,1,safety,id_reference,A3,100,100,0.14000000000000001
A6c,1,safety,ood_compound,A3,100,100,0.51000000000000001
A6c,1,safety,motor_fault,A3,100,100,0.16999999999999993
A6c,2,heldout,id_reference,A3,100,100,0.10000000000000003
A6c,2,safety,id_reference,A3,100,100,0.14000000000000001
A6c,2,safety,ood_compound,A3,100,100,0.22000000000000003
A6c,2,safety,motor_fault,A3,100,100,0.14000000000000001
A6c,3,heldout,id_reference,A3,100,100,0.09000000000000008
A6c,3,safety,id_reference,A3,100,100,0.12000000000000002
A6c,3,safety,ood_compound,A3,100,100,0.32999999999999996
A6c,3,safety,motor_fault,A3,100,100,0.23999999999999999
A6c,4,heldout,id_reference,A3,100,100,0.20000000000000007
A6c,4,safety,id_reference,A3,100,100,0.099999999999999992
A6c,4,safety,ood_compound,A3,100,100,0.20999999999999996
A6c,4,safety,motor_fault,A3,100,100,0.16000000000000003
A6c_gate_off_control,0,safety,id_reference,A3,100,100,0.16000000000000003
A6c_gate_off_control,0,safety,ood_compound,A3,100,100,0.30999999999999994
A6c_gate_off_control,0,safety,motor_fault,A3,100,100,0.14000000000000001
A6c_gate_off_control,1,safety,id_reference,A3,100,100,0.16999999999999998
A6c_gate_off_control,1,safety,ood_compound,A3,100,100,0.48000000000000004
A6c_gate_off_control,1,safety,motor_fault,A3,100,100,0.16999999999999998
A6c_gate_off_control,2,safety,id_reference,A3,100,100,0.16000000000000003
A6c_gate_off_control,2,safety,ood_compound,A3,100,100,0.22000000000000008
A6c_gate_off_control,2,safety,motor_fault,A3,100,100,0.16000000000000003
A6c_gate_off_control,3,safety,id_reference,A3,100,100,0.099999999999999978
A6c_gate_off_control,3,safety,ood_compound,A3,100,100,0.27000000000000007
A6c_gate_off_control,3,safety,motor_fault,A3,100,100,0.15000000000000002
A6c_gate_off_control,4,safety,id_reference,A3,100,100,0.11000000000000001
A6c_gate_off_control,4,safety,ood_compound,A3,100,100,0.15000000000000002
A6c_gate_off_control,4,safety,motor_fault,A3,100,100,0.12
