comparison,scenario,metric,difference,ci95_low,ci95_high,bootstrap_seed,bootstrap_samples
A4c_vs_A2,id_reference,success,-0.13,-0.19400000000000001,-0.064000000000000001,150001,10000
A4c_vs_A2,id_reference,unsafe_episode,-0.045999999999999999,-0.080000000000000002,-0.016,150001,10000
A4c_vs_A2,ood_compound,success,-0.050000000000000003,-0.075999999999999998,-0.028000000000000001,150001,10000
A4c_vs_A2,ood_compound,unsafe_episode,0.0080000000000000002,-0.021999999999999999,0.037999999999999999,150001,10000
A4c_vs_A2,motor_fault,success,-0.106,-0.14799999999999999,-0.068000000000000005,150001,10000
A4c_vs_A2,motor_fault,unsafe_episode,-0.021999999999999999,-0.058000000000000003,0.016,150001,10000
A6c_vs_gate_off,id_reference,success,-0.122,-0.20000000000000001,-0.048000000000000001,150001,10000
A6c_vs_gate_off,id_reference,unsafe_episode,0.025999999999999999,0.0060000000000000001,0.051999999999999998,150001,10000
A6c_vs_gate_off,ood_compound,success,-0.02,-0.040000000000000001,-0.0040000000000000001,150001,10000
A6c_vs_gate_off,ood_compound,unsafe_episode,0.034000000000000002,-0.002,0.071999999999999995,150001,10000
A6c_vs_gate_off,motor_fault,success,-0.10199999999999999,-0.16200000000000001,-0.045999999999999999,150001,10000
A6c_vs_gate_off,motor_fault,unsafe_episode,0.024,-0.021999999999999999,0.071999999999999995,150001,10000
A6c_vs_A3_total_effect,id_reference,success,-0.17199999999999999,-0.25800000000000001,-0.085999999999999993,150001,10000
A6c_vs_A3_total_effect,id_reference,unsafe_episode,-0.67200000000000004,-0.75,-0.58799999999999997,150001,10000
A6c_vs_A3_total_effect,ood_compound,success,-0.104,-0.14599999999999999,-0.06595000000000073,150001,10000
A6c_vs_A3_total_effect,ood_compound,unsafe_episode,-0.45200000000000001,-0.54200000000000004,-0.35799999999999998,150001,10000
A6c_vs_A3_total_effect,motor_fault,success,-0.19600000000000001,-0.26600000000000001,-0.126,150001,10000
A6c_vs_A3_total_effect,motor_fault,unsafe_episode,-0.48599999999999999,-0.57799999999999996,-0.39000000000000001,150001,10000
