population,condition,training_seed,scenario,controller,seed,steps,state_observations,unsafe_state_observations,unsafe_state_fraction,unsafe_episode,unsafe_entry_count,first_unsafe_observation,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,normalized_violation_mean,normalized_violation_max,normalized_violation_integral,command_attempts,candidate_constraint_violation_steps,candidate_constraint_violation_fraction,candidate_constraint_margin_min,executed_constraint_margin_min,safety_enabled,safety_infeasible,safety_certified_steps,safety_intervention_steps,safety_intervention_fraction,safety_correction_mean,safety_correction_max,fault_seen,success
heldout,A4c,0,id_reference,A4c_train_seed_0,40000,250,251,0,0,false,0,-1,0,0,0,0,0,250,37,0.14799999999999999,-109.02443886769692,-119.59007121475278,false,false,0,0,0,0,0,false,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40001,250,251,10,0.039840637450199202,true,1,3,0,4.5113866675640057,0.017072178613934591,0.64448380965200092,0.085702336641951649,250,12,0.048000000000000001,-440.67568524559772,-451.32337576163229,false,false,0,0,0,0,0,false,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40002,250,251,52,0.20717131474103587,true,1,20,1.1295657625452149,12.277428955557401,0.066515063852646536,1.753918422222486,0.33390562054028566,250,68,0.27200000000000002,-959.29457650782888,-959.29457650782888,false,false,0,0,0,0,0,false,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40003,250,251,231,0.92031872509960155,true,3,2,1.3324187326796704,6.35291308399907,0.33568713429300423,0.9075590119998671,1.6851494141508812,250,250,1,-537.44948731965292,-537.44948731965292,false,false,0,0,0,0,0,false,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40004,63,64,9,0.140625,true,1,2,0,7.7550303624767718,0.10329355722013729,1.1078614803538245,0.13221575324177573,63,10,0.15873015873015872,-482.36609433157332,-491.77973724730714,false,false,0,0,0,0,0,false,true
heldout,A4c,0,id_reference,A4c_train_seed_0,40005,250,251,29,0.11553784860557768,true,2,4,0.20415226638943773,3.2998820712945154,0.017322463894498746,0.47141172447064505,0.086958768750383705,250,12,0.048000000000000001,-276.4707896741578,-284.29547050722692,false,false,0,0,0,0,0,false,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40006,75,76,9,0.11842105263157894,true,1,2,0,5.0965211765501106,0.050587463100167068,0.72807445379287294,0.076892943912253944,75,10,0.13333333333333333,-345.30414753350169,-351.35772923295997,false,false,0,0,0,0,0,false,true
heldout,A4c,0,id_reference,A4c_train_seed_0,40007,250,251,23,0.091633466135458169,true,2,4,0.12471909630541855,4.3501570240967364,0.019392608386641398,0.62145100344239101,0.097350894100939819,250,13,0.051999999999999998,-384.91116825684719,-389.21917524886538,false,false,0,0,0,0,0,false,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40008,59,60,2,0.033333333333333333,true,1,5,0,0.1864564387194303,0.00084138617944103198,0.026636634102775725,0.0010096634153292383,59,14,0.23728813559322035,-111.19161720486755,-121.15197584419215,false,false,0,0,0,0,0,false,true
heldout,A4c,0,id_reference,A4c_train_seed_0,40009,37,38,4,0.10526315789473684,true,1,6,0,1.2670163484490153,0.0138392011297623,0.18100233549271638,0.010517792858619349,37,8,0.21621621621621623,-156.64378299764618,-156.64378299764618,false,false,0,0,0,0,0,false,true
heldout,A4c,0,id_reference,A4c_train_seed_0,40010,250,251,3,0.011952191235059761,true,1,7,0,0.54581428187316927,0.00051000117470212467,0.077973468839024118,0.0025602058970046662,250,247,0.98799999999999999,-74.603775266882053,-74.603775266882053,false,false,0,0,0,0,0,false,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40011,39,40,6,0.14999999999999999,true,1,3,0,4.5892831313204177,0.056884069572555505,0.65561187590291681,0.045507255658044407,39,7,0.17948717948717949,-292.70871932477553,-292.70871932477553,false,false,0,0,0,0,0,false,true
heldout,A4c,0,id_reference,A4c_train_seed_0,40012,250,251,9,0.035856573705179286,true,1,2,0,3.6586740630984274,0.012548000951659683,0.5226677232997754,0.062990964777331612,250,13,0.051999999999999998,-308.82755932501834,-317.39534930459303,false,false,0,0,0,0,0,false,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40013,82,83,9,0.10843373493975904,true,2,5,0,2.5733540654839562,0.022745521417903716,0.36762200935485079,0.037757565553720167,82,55,0.67073170731707321,-301.26741084853762,-313.40202144068076,false,false,0,0,0,0,0,false,true
heldout,A4c,0,id_reference,A4c_train_seed_0,40014,66,67,0,0,false,0,-1,0,0,0,0,0,66,18,0.27272727272727271,-96.880253466865767,-96.880253466865767,false,false,0,0,0,0,0,false,true
heldout,A4c,0,id_reference,A4c_train_seed_0,40015,250,251,219,0.87250996015936255,true,2,4,0.12497244231579518,2.5426963671479665,0.02406347558240042,0.36324233816399532,0.12079864742365011,250,13,0.051999999999999998,-373.15375877354961,-376.50879271578106,false,false,0,0,0,0,0,false,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40016,81,82,0,0,false,0,-1,0,0,0,0,0,81,28,0.34567901234567899,-55.991075112904404,-55.991075112904404,false,false,0,0,0,0,0,false,true
