population,condition,scenario,episodes,successes,success_rate,unsafe_episodes,unsafe_episode_rate,safety_infeasible_episodes
heldout,A4c,id_reference,500,196,0.39200000000000002,344,0.68799999999999994,0
heldout,A6c,id_reference,500,215,0.42999999999999999,37,0.073999999999999996,15
safety,A3,id_reference,500,312,0.624,367,0.73399999999999999,0
safety,A3,motor_fault,500,163,0.32600000000000001,375,0.75,0
safety,A3,ood_compound,500,58,0.11600000000000001,335,0.67000000000000004,0
safety,A4c,id_reference,500,196,0.39200000000000002,340,0.68000000000000005,0
safety,A4c,motor_fault,500,65,0.13,367,0.73399999999999999,0
safety,A4c,ood_compound,500,5,0.01,343,0.68600000000000005,0
safety,A6c,id_reference,500,226,0.45200000000000001,31,0.062,6
safety,A6c,motor_fault,500,65,0.13,132,0.26400000000000001,17
safety,A6c,ood_compound,500,6,0.012,109,0.218,19
safety,A6c_gate_off_control,id_reference,500,287,0.57399999999999995,18,0.035999999999999997,6
safety,A6c_gate_off_control,motor_fault,500,116,0.23200000000000001,120,0.23999999999999999,16
safety,A6c_gate_off_control,ood_compound,500,16,0.032000000000000001,92,0.184,15
