population,condition,training_seed,ensemble_seed,scenario,episode_seed,window_first_step,window_last_step,n_rows_in_window,uncertainty_norm_landmark_median,uncertainty_ratio_landmark_median,unsafe_episode,safety_infeasible,operational_failure
safety,A6c_gate_off_control,0,0,id_reference,50000,0,24,25,4.845815520674307,1.1545692334074484,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50001,0,24,25,6.562375187267706,1.563558591318684,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50002,0,24,25,5.382132624156528,1.282352725038307,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50003,0,24,25,7.434612096076921,1.7713786981421902,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50004,0,24,25,6.595486569143605,1.5714477448835311,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50005,0,24,25,4.085633109321762,0.9734473520274073,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50006,0,24,25,6.156646922161273,1.466889337192707,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50007,0,24,25,7.2039307187811685,1.716416304338831,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50008,0,24,25,5.858359805559438,1.3958191270121973,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50009,0,24,25,6.818061060534445,1.6244785833058355,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50010,0,24,25,7.869499345909858,1.874995403424528,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50011,0,24,25,3.7837349668159113,0.9015167749195917,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50012,0,24,25,7.0013321807879425,1.6681449581222174,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50013,0,24,25,7.173631317017103,1.7091971361888694,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50014,0,24,25,5.092469830479733,1.213337355341456,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50015,0,24,25,7.387679513451966,1.7601964903771727,False,False,False
