scope,ensemble_seed,gain,transitions,scale_min,scale_p05,scale_median,scale_mean,scale_p95,scale_max,floor_fraction
per_ensemble,0,0.5,27314,0.27032721917227087,0.53366104574622386,0.67300259434562371,0.67155611555352146,0.8044574117902823,0.94414641251199583,0
per_ensemble,1,0.5,25747,0.31544091847233702,0.47720347880608255,0.65736664325143712,0.66376082902732625,0.8539423043106471,0.94856942732379257,0
per_ensemble,2,0.5,29416,0.30431604534571877,0.54516994157972887,0.68054184748905744,0.67676223865866192,0.80019256974264763,0.92610570750354471,0
per_ensemble,3,0.5,30314,0.24079414583366579,0.49020935388652015,0.67123001235150159,0.66259604924617832,0.83455539399573231,0.93623304907405624,0
per_ensemble,4,0.5,30941,0.3427984611642656,0.51801067250373889,0.66708969172503074,0.6579985302083291,0.78154468496398444,0.9535981485352506,0
pooled_transitions,-1,0.5,143732,0.24079414583366579,0.50881845922830171,0.66880321282964594,0.66641694944482244,0.82231950114714858,0.9535981485352506,0
per_ensemble,0,1,27314,0.15628806914733703,0.36394112346340141,0.50716195194848712,0.51131923343146868,0.6728805980855701,0.89420202166308627,0
per_ensemble,1,1,25747,0.18725429219512774,0.31337310807122659,0.48960994447759965,0.50697508555798043,0.74511283988804899,0.90217029252763459,0
per_ensemble,2,1,29416,0.17946507337669723,0.3747310153308176,0.51577372591582815,0.51863902814384599,0.66693416757138557,0.86238069610245316,0
per_ensemble,3,1,30314,0.13687661694814854,0.32468697243708866,0.50515139459128933,0.50414893347977119,0.71608327818939832,0.88011105088301811,0
per_ensemble,4,1,30941,0.20685381538150055,0.34953738390200767,0.50047605422781027,0.49555780675049749,0.64142252515914633,0.91131160289940949,0
pooled_transitions,-1,1,143732,0.13687661694814854,0.34121831958632154,0.50240747218995718,0.50713391304553446,0.69825347532556503,0.91131160289940949,0
per_ensemble,0,2,27314,0.10000000000000001,0.22244989415096739,0.33973005494447939,0.34883977650596126,0.50702340506556276,0.80864863128791276,0.00051255766273705791
per_ensemble,1,2,25747,0.10329870945985116,0.18579871432808132,0.32416126065412798,0.34956140620422044,0.59376879736467769,0.82177617019016957,0
per_ensemble,2,2,29416,0.10000000000000001,0.23056553792585521,0.3475034332325998,0.35681906713951056,0.50030099890826807,0.75805736870663942,3.3995104704922489e-05
per_ensemble,3,2,30314,0.10000000000000001,0.19380674960673139,0.3379281304900873,0.34508223256080878,0.557733430884221,0.78589136143987715,0.0042884475819753246
per_ensemble,4,2,30941,0.11535803224292597,0.21178146084179755,0.33375662698743153,0.33405707309199534,0.47212804351425286,0.83707294513878039,0
pooled_transitions,-1,2,143732,0.10000000000000001,0.20570417663714047,0.33547674875531125,0.34662733111894023,0.53639741846070776,0.83707294513878039,0.0010088219742298166
per_ensemble,0,4,27314,0.10000000000000001,0.12514409221453868,0.20462338431585514,0.21495472213065903,0.33960572911025227,0.67876585575429693,0.017610016841180347
per_ensemble,1,4,25747,0.10000000000000001,0.10241350604015201,0.19343225159042296,0.21923172291861953,0.42224123334195401,0.69747033577041739,0.045286829533537888
per_ensemble,2,4,29416,0.10000000000000001,0.13030465045493433,0.21028995777420079,0.22153514875609162,0.33360094162041831,0.61038034254222961,0.014277943976067447
per_ensemble,3,4,30314,0.10000000000000001,0.10730122569571675,0.20331739961994177,0.21452675935545504,0.38670620457336286,0.64729904431938501,0.037441446196476873
per_ensemble,4,4,30941,0.10000000000000001,0.11843153183139066,0.20030484885530225,0.20361707457386613,0.30901021614415447,0.71979832409924827,0.01923014770046217
pooled_transitions,-1,4,143732,0.10000000000000001,0.11464340163468691,0.2015452463667616,0.21453671049983972,0.36649116722421377,0.71979832409924827,0.026417220938969751
